pharmacy_id,pharmacy_name,city,state,channel
PH00141,Campbell Pharmacy,Schroederton,MA,Retail
PH00142,Mccormick Pharmacy,Cameronville,FL,Mail Order
PH00143,Grant Pharmacy,Mitchellberg,TX,Retail
PH00144,Cook Pharmacy,West Kyle,PA,Retail
PH00145,Douglas Pharmacy,Andersonland,NJ,Retail
PH00146,Collins Pharmacy,Schneidermouth,TX,Mail Order
PH00147,Li Pharmacy,Lake Ellenhaven,CA,Mail Order
PH00148,Cox Pharmacy,Kyleborough,NJ,Specialty
PH00149,Peterson Pharmacy,Leeberg,IL,Retail
PH00150,Moore Pharmacy,Meganville,PA,Retail
PH00151,Romero Pharmacy,Lake Matthewberg,MA,Specialty
PH00152,Harper Pharmacy,East Henry,PA,Retail
PH00153,Schwartz Pharmacy,Lake Samuel,PA,Retail
PH00154,Jenkins Pharmacy,South Cheryl,PA,Retail
PH00155,Goodwin Pharmacy,Youngbury,IL,Retail
PH00156,Collins Pharmacy,Mckeeborough,CA,Specialty
PH00157,Richardson Pharmacy,Murrayport,MA,Retail
PH00158,Strickland Pharmacy,Burchborough,FL,Retail
PH00159,Solis Pharmacy,Port John,NY,Retail
PH00160,Davidson Pharmacy,Angelaville,PA,Retail
PH00161,Dawson Pharmacy,West Christopherburgh,TX,Mail Order
PH00162,Nelson Pharmacy,Port Samuel,FL,Retail
PH00163,Potts Pharmacy,Port Shannon,FL,Retail
PH00164,Bailey Pharmacy,South Brianhaven,FL,Retail
PH00165,Brooks Pharmacy,Vangstad,TX,Mail Order
PH00166,Walker Pharmacy,Sarahmouth,NY,Retail
PH00167,Moody Pharmacy,North Justin,TX,Specialty
PH00168,Gallegos Pharmacy,Port Janice,IL,Mail Order
PH00169,West Pharmacy,North Andrewborough,CA,Retail
PH00170,Conley Pharmacy,Rodriguezport,NY,Retail
PH00171,Young Pharmacy,North Johnmouth,PA,Mail Order
PH00172,Brown Pharmacy,Carlsontown,FL,Retail
PH00173,Chen Pharmacy,Lake Douglas,NY,Retail
PH00174,Patterson Pharmacy,Johnchester,NY,Retail
PH00175,Lopez Pharmacy,New Theresaland,NJ,Retail
PH00176,Ashley Pharmacy,South Morganton,CA,Retail
PH00177,Reid Pharmacy,Jontown,PA,Retail
PH00178,Kelly Pharmacy,West Johnville,CA,Retail
PH00179,Ingram Pharmacy,Dennisstad,FL,Specialty
PH00180,Payne Pharmacy,Port Kimberly,NY,Retail
PH00181,Marshall Pharmacy,Welchberg,IL,Retail
PH00182,Brown Pharmacy,Johnsonborough,NY,Retail
PH00183,Williams Pharmacy,North Leslie,MA,Mail Order
PH00184,Collins Pharmacy,Haysside,NJ,Retail
PH00185,Kennedy Pharmacy,Port Deborahport,MA,Retail
PH00186,Kelly Pharmacy,Port Dianaview,MA,Retail
PH00187,Martinez Pharmacy,Samuelfurt,CA,Retail
PH00188,Paul Pharmacy,Morganburgh,TX,Retail
PH00189,Crawford Pharmacy,Richardsonhaven,IL,Retail
PH00190,Adams Pharmacy,Lake Rogerchester,PA,Retail
PH00191,Morrison Pharmacy,New Kelly,IL,Retail
PH00192,Garcia Pharmacy,Donnaport,NJ,Retail
PH00193,Griffin Pharmacy,Jacksonmouth,CA,Mail Order
PH00194,Bell Pharmacy,Lake Mollystad,FL,Retail
PH00195,Mendez Pharmacy,Hillton,FL,Retail
PH00196,Jones Pharmacy,Coxburgh,MA,Retail
PH00197,Cisneros Pharmacy,Port Cathy,CA,Retail
PH00198,Harrington Pharmacy,East Carlosstad,PA,Retail
PH00199,Cox Pharmacy,New Ericmouth,PA,Specialty
PH00200,Rush Pharmacy,Scottland,MA,Retail
PH00201,Berry Pharmacy,Raymondview,CA,Retail
PH00202,Wright Pharmacy,North Jillfort,CA,Retail
PH00203,Holmes Pharmacy,West Kimberlymouth,PA,Mail Order
PH00204,Lewis Pharmacy,Heatherfort,NY,Retail
PH00205,Gonzalez Pharmacy,Port Charles,PA,Retail
PH00206,Thompson Pharmacy,Osbornmouth,NJ,Retail
PH00207,Contreras Pharmacy,New Amberport,NJ,Mail Order
PH00208,York Pharmacy,Port Michael,NY,Specialty
PH00209,Walker Pharmacy,Port Dominic,IL,Retail
PH00210,Tyler Pharmacy,West Angelastad,FL,Retail
PH00211,Mcdonald Pharmacy,New Nicole,MA,Retail
PH00212,Jones Pharmacy,Keyfort,CA,Retail
PH00213,Fox Pharmacy,Morrowland,PA,Retail
PH00214,Martinez Pharmacy,Dawnmouth,IL,Retail
PH00215,Owens Pharmacy,Davidside,NJ,Mail Order
PH00216,Bowman Pharmacy,Port Tammy,NY,Retail
PH00217,Reynolds Pharmacy,Port Davidberg,IL,Retail
PH00218,Torres Pharmacy,West Sarah,IL,Retail
PH00219,Perez Pharmacy,Meghanview,IL,Specialty
PH00220,Gonzalez Pharmacy,Davidport,PA,Retail
PH00221,Mendez Pharmacy,New Danielleshire,TX,Retail
PH00222,David Pharmacy,East Donna,NJ,Retail
PH00223,Le Pharmacy,Meganshire,NY,Retail
PH00224,Williams Pharmacy,North Brandonshire,FL,Retail
PH00225,Baker Pharmacy,Port Ashley,MA,Retail
PH00226,Montgomery Pharmacy,South Pamelaside,PA,Retail
PH00227,Roberts Pharmacy,Timothyfurt,PA,Mail Order
PH00228,Evans Pharmacy,Lake Brianmouth,CA,Mail Order
PH00229,Perry Pharmacy,Harrisberg,TX,Retail
PH00230,Edwards Pharmacy,Jessicastad,NY,Retail
PH00231,Hester Pharmacy,Port Mitchell,IL,Retail
PH00232,Hoffman Pharmacy,Johnville,NJ,Retail
PH00233,Adams Pharmacy,East Colin,MA,Retail
PH00234,Roberts Pharmacy,Linchester,FL,Mail Order
PH00235,Wright Pharmacy,Port Mark,CA,Retail
PH00236,Lane Pharmacy,Jamesburgh,CA,Retail
PH00237,Jimenez Pharmacy,Jimenezport,MA,Retail
PH00238,Jimenez Pharmacy,South Williambury,IL,Retail
PH00239,Lewis Pharmacy,Brandonport,NJ,Specialty
PH00240,Simpson Pharmacy,Mitchelltown,NY,Retail
PH00241,Boone Pharmacy,Andersonview,IL,Specialty
PH00242,Luna Pharmacy,Diazfurt,TX,Mail Order
PH00243,Williams Pharmacy,West Angela,IL,Retail
PH00244,Jones Pharmacy,Duranview,NY,Retail
PH00245,Bryan Pharmacy,East Theresafurt,NJ,Retail
PH00246,Brooks Pharmacy,Angelastad,NJ,Retail
PH00247,Fischer Pharmacy,New William,FL,Retail
PH00248,Porter Pharmacy,North Derrickmouth,PA,Retail
PH00249,Brock Pharmacy,Hernandezhaven,NY,Retail
PH00250,Taylor Pharmacy,Franciscoport,MA,Specialty
PH00251,Wheeler Pharmacy,Ericksonport,PA,Retail
PH00252,Wells Pharmacy,West Markville,NJ,Retail
PH00253,Whitney Pharmacy,Lauratown,NJ,Retail
PH00254,Carlson Pharmacy,Tammyshire,NJ,Retail
PH00255,Lane Pharmacy,New Timothyhaven,PA,Retail
PH00256,Fuller Pharmacy,Hernandezbury,MA,Mail Order
PH00257,Johnson Pharmacy,East Andrewmouth,PA,Retail
PH00258,Barnes Pharmacy,Vaughnchester,CA,Retail
PH00259,Shaw Pharmacy,Salaston,NJ,Retail
PH00260,Thornton Pharmacy,New Mark,NJ,Mail Order
PH00261,Bates Pharmacy,Edwardsburgh,PA,Retail
PH00262,Stevens Pharmacy,Amyview,TX,Retail
PH00263,Bishop Pharmacy,East Joshua,CA,Retail
PH00264,Evans Pharmacy,Kellieborough,FL,Specialty
PH00265,Vaughn Pharmacy,Stewartstad,PA,Retail
PH00266,Castro Pharmacy,Keithshire,TX,Retail
PH00267,Rhodes Pharmacy,Huangfurt,TX,Retail
PH00268,Cardenas Pharmacy,West Bobby,TX,Retail
PH00269,Moses Pharmacy,West Sandraview,CA,Retail
PH00270,Burgess Pharmacy,East Maria,MA,Retail
PH00271,Nelson Pharmacy,Derrickshire,MA,Retail
PH00272,Allen Pharmacy,Lake Rebeccabury,PA,Mail Order
PH00273,Little Pharmacy,North Robertfort,PA,Retail
PH00274,Garcia Pharmacy,North Tamara,CA,Retail
PH00275,Spence Pharmacy,South Denise,IL,Mail Order
PH00276,Gilmore Pharmacy,Woodsborough,NY,Retail
PH00277,Avila Pharmacy,Manuelton,CA,Retail
PH00278,Velez Pharmacy,Lake Audreyside,MA,Retail
PH00279,Rodgers Pharmacy,East Robertburgh,PA,Mail Order
PH00280,Peck Pharmacy,Port Randyfort,CA,Retail
PH00281,Lopez Pharmacy,Nancytown,CA,Retail
PH00282,Evans Pharmacy,West Justinside,NJ,Retail
PH00283,Warren Pharmacy,Port William,NY,Retail
PH00284,Nelson Pharmacy,West Franciscomouth,FL,Retail
PH00285,Wong Pharmacy,North Jill,MA,Retail
PH00286,Gibbs Pharmacy,East Cheryl,NY,Retail
PH00287,Fowler Pharmacy,Wilcoxhaven,PA,Specialty
PH00288,Murphy Pharmacy,Caldwellburgh,CA,Retail
PH00289,Holden Pharmacy,Morrisbury,TX,Retail
PH00290,Smith Pharmacy,Youngview,MA,Specialty
PH00291,Finley Pharmacy,Brandishire,TX,Retail
PH00292,Smith Pharmacy,Heatherton,IL,Retail
PH00293,Contreras Pharmacy,Parkerfurt,PA,Retail
PH00294,Parks Pharmacy,Hannahport,NY,Mail Order
PH00295,Richardson Pharmacy,East Susan,PA,Retail
PH00296,Mendoza Pharmacy,Adkinsstad,CA,Retail
PH00297,Perry Pharmacy,Toddborough,NJ,Retail
PH00298,Gill Pharmacy,New Seanstad,TX,Retail
PH00299,Miller Pharmacy,North Mariahaven,TX,Specialty
PH00300,Harris Pharmacy,East Mark,IL,Specialty
PH00301,Meyer Pharmacy,Lake Jamieshire,NJ,Retail
PH00302,Burns Pharmacy,Stokesmouth,CA,Retail
PH00303,Anderson Pharmacy,Bryantton,NJ,Retail
PH00304,Hansen Pharmacy,Jenniferfurt,PA,Mail Order
PH00305,Scott Pharmacy,Lake Jefferyland,CA,Retail
PH00306,Williams Pharmacy,Isabellaside,NJ,Retail
PH00307,Mcknight Pharmacy,South Anthonychester,NY,Retail
PH00308,White Pharmacy,Port Darlene,TX,Specialty
PH00309,Daniel Pharmacy,Brooksfurt,PA,Specialty
PH00310,West Pharmacy,Bennettside,MA,Retail
PH00311,Anderson Pharmacy,Davidside,TX,Retail
PH00312,Long Pharmacy,Lake Tiffany,IL,Mail Order
PH00313,Davenport Pharmacy,West Stevenside,CA,Retail
PH00314,Coleman Pharmacy,Morrowbury,NY,Retail
PH00315,Murray Pharmacy,West Jacob,TX,Retail
PH00316,Golden Pharmacy,North Lisachester,TX,Retail
PH00317,Mendez Pharmacy,East Jamieville,TX,Retail
PH00318,Wheeler Pharmacy,Harperton,NY,Retail
PH00319,Sanchez Pharmacy,South Scottside,FL,Specialty
PH00320,Robinson Pharmacy,East Williamport,IL,Mail Order
PH00321,Young Pharmacy,Barbaramouth,MA,Retail
PH00322,Young Pharmacy,Lake Adriana,FL,Retail
PH00323,Gutierrez Pharmacy,Bruceshire,MA,Specialty
PH00324,Hobbs Pharmacy,Lake Erika,FL,Retail
PH00325,Peters Pharmacy,West Shellyfurt,MA,Retail
PH00326,Floyd Pharmacy,Heatherchester,IL,Mail Order
PH00327,Hernandez Pharmacy,Whiteside,NJ,Specialty
PH00328,Wells Pharmacy,West Meredith,FL,Mail Order
PH00329,Thomas Pharmacy,Melendezside,TX,Mail Order
PH00330,Gutierrez Pharmacy,Grantberg,NY,Retail
PH00331,Price Pharmacy,Jamesland,PA,Retail
PH00332,Nielsen Pharmacy,Christopherborough,CA,Retail
PH00333,Williams Pharmacy,Nunezton,CA,Retail
PH00334,Russo Pharmacy,Port Kathleen,TX,Retail
PH00335,Ramsey Pharmacy,South Jason,TX,Mail Order
PH00336,Meadows Pharmacy,Susantown,CA,Specialty
PH00337,Lewis Pharmacy,Lake David,FL,Mail Order
PH00338,Key Pharmacy,Rochaborough,PA,Specialty
PH00339,Sanders Pharmacy,New Marc,NJ,Retail
PH00340,Campbell Pharmacy,Fergusonstad,PA,Retail
PH00341,Parker Pharmacy,Williamfort,CA,Retail
PH00342,Owens Pharmacy,Gillmouth,NY,Retail
PH00343,Rocha Pharmacy,Lawrenceton,CA,Mail Order
PH00344,Hart Pharmacy,Lake Dustin,PA,Mail Order
PH00345,Green Pharmacy,Phillipsborough,TX,Retail
PH00346,Rivera Pharmacy,Hudsonbury,MA,Retail
PH00347,Porter Pharmacy,Jonathanfort,TX,Mail Order
PH00348,Levy Pharmacy,Murraystad,MA,Retail
PH00349,Jackson Pharmacy,Whiteside,NY,Specialty
PH00350,Mooney Pharmacy,New Arthurland,NY,Retail
PH00351,Landry Pharmacy,Port Adamberg,TX,Retail
PH00352,Kirby Pharmacy,North Jasmine,NJ,Retail
PH00353,Smith Pharmacy,Brooksfort,IL,Retail
PH00354,Hopkins Pharmacy,North Amandachester,CA,Retail
PH00355,Smith Pharmacy,Amandaport,NJ,Retail
PH00356,Smith Pharmacy,Drakeburgh,MA,Retail
PH00357,Rodriguez Pharmacy,New Eduardoborough,MA,Retail
PH00358,Harvey Pharmacy,Lisaview,NY,Retail
PH00359,Norton Pharmacy,West Susanmouth,FL,Retail
PH00360,Cunningham Pharmacy,West Gabriella,IL,Retail
PH00361,Abbott Pharmacy,North Richardfurt,PA,Retail
PH00362,Tran Pharmacy,Lake Albertburgh,NJ,Retail
PH00363,Miller Pharmacy,Newmanmouth,CA,Retail
PH00364,Knight Pharmacy,New Samanthabury,PA,Retail
PH00365,Lewis Pharmacy,Nelsonland,NY,Retail
PH00366,Cohen Pharmacy,Rachelshire,MA,Retail
PH00367,Barrett Pharmacy,Port Leonard,NJ,Specialty
PH00368,Ali Pharmacy,Port Lori,IL,Retail
PH00369,Nicholson Pharmacy,West Franciscobury,PA,Mail Order
PH00370,Knight Pharmacy,Rhodesside,PA,Retail
PH00371,Rivera Pharmacy,Port Vanessa,CA,Mail Order
PH00372,Ramsey Pharmacy,Brianchester,PA,Retail
PH00373,Hall Pharmacy,West Cassiefurt,PA,Retail
PH00374,Novak Pharmacy,Anthonyview,TX,Mail Order
PH00375,Bowers Pharmacy,Henrystad,MA,Specialty
PH00376,Tran Pharmacy,Reynoldsshire,MA,Retail
PH00377,Guerrero Pharmacy,Port Christinebury,TX,Retail
PH00378,Marquez Pharmacy,West Ericberg,MA,Retail
PH00379,Singh Pharmacy,Michaelland,FL,Retail
PH00380,Smith Pharmacy,Seanview,FL,Mail Order
PH00381,Garcia Pharmacy,East Ryanside,PA,Specialty
PH00382,Peters Pharmacy,Garcialand,NJ,Specialty
PH00383,Gomez Pharmacy,New Carlymouth,MA,Retail
PH00384,Shields Pharmacy,West Robertland,FL,Retail
PH00385,Hardy Pharmacy,New Adriana,NY,Mail Order
PH00386,Jennings Pharmacy,East Joseph,PA,Retail
PH00387,Adams Pharmacy,North Gary,PA,Retail
PH00388,Hill Pharmacy,Toddland,NJ,Retail
PH00389,Ward Pharmacy,Lake Colleen,NJ,Retail
PH00390,Wheeler Pharmacy,South Daniel,TX,Retail
PH00391,Torres Pharmacy,Cookfurt,MA,Retail
PH00392,Brock Pharmacy,Scottchester,IL,Mail Order
PH00393,Ochoa Pharmacy,West Malik,NJ,Retail
PH00394,Valentine Pharmacy,South Leon,TX,Retail
PH00395,Oconnell Pharmacy,Kellyfort,PA,Retail
PH00396,Faulkner Pharmacy,West Nicholas,PA,Retail
PH00397,Velasquez Pharmacy,Diazshire,IL,Retail
PH00398,Gonzalez Pharmacy,Lake Katrina,NJ,Retail
PH00399,Johnson Pharmacy,Hahnborough,MA,Retail
PH00400,Gonzales Pharmacy,Marieland,NY,Retail
PH00401,Fuentes Pharmacy,Chambersberg,PA,Retail
PH00402,Schultz Pharmacy,West Donna,NJ,Retail
PH00403,Espinoza Pharmacy,Jonesfort,NY,Retail
PH00404,Aguilar Pharmacy,Stephensstad,NJ,Retail
PH00405,Miles Pharmacy,North Kaylastad,TX,Specialty
PH00406,Jackson Pharmacy,New Tonyafurt,TX,Mail Order
PH00407,Rasmussen Pharmacy,Tammychester,MA,Retail
PH00408,Rodriguez Pharmacy,West Jeffreyhaven,CA,Retail
PH00409,Grant Pharmacy,South Neil,PA,Retail
PH00410,Ford Pharmacy,West Whitney,NY,Retail
PH00411,Webb Pharmacy,Robertland,MA,Specialty
PH00412,Wilson Pharmacy,West Larry,PA,Retail
PH00413,Gibson Pharmacy,New Timothy,CA,Retail
PH00414,Alvarez Pharmacy,Bowenmouth,PA,Retail
PH00415,Flores Pharmacy,Bradleyville,IL,Retail
PH00416,Johnson Pharmacy,Deborahburgh,CA,Retail
PH00417,Spears Pharmacy,New Greg,TX,Retail
PH00418,Moore Pharmacy,Mullenbury,NJ,Specialty
PH00419,Salinas Pharmacy,East Danielle,CA,Retail
PH00420,Reynolds Pharmacy,Lake Christinaborough,IL,Retail
PH00421,Cole Pharmacy,Priceborough,FL,Specialty
PH00422,Harris Pharmacy,New Cristianside,IL,Retail
PH00423,Lopez Pharmacy,Jamesville,MA,Retail
PH00424,Baker Pharmacy,Rosemouth,TX,Mail Order
PH00425,Harper Pharmacy,Matthewsstad,MA,Retail
PH00426,Bell Pharmacy,Williamsonport,MA,Specialty
PH00427,Sellers Pharmacy,Lake Dennisville,PA,Retail
PH00428,Allen Pharmacy,East Nathanielberg,CA,Retail
PH00429,Dixon Pharmacy,Carlsonshire,IL,Mail Order
PH00430,Reyes Pharmacy,South Cynthia,TX,Retail
PH00431,Steele Pharmacy,New Garrett,TX,Mail Order
PH00432,Roberts Pharmacy,West Megan,FL,Retail
PH00433,Harvey Pharmacy,Stephaniefort,FL,Mail Order
PH00434,Taylor Pharmacy,Maynardhaven,FL,Mail Order
PH00435,Delgado Pharmacy,Cohenchester,NY,Retail
PH00436,Mckinney Pharmacy,Burnsland,PA,Retail
PH00437,Cunningham Pharmacy,West Antonio,TX,Retail
PH00438,Walker Pharmacy,Garymouth,CA,Retail
PH00439,Cunningham Pharmacy,Dunnville,NJ,Specialty
PH00440,Armstrong Pharmacy,Kimberlystad,MA,Retail
PH00441,Weaver Pharmacy,Port Jenniferside,NJ,Mail Order
PH00442,Robinson Pharmacy,Garciabury,CA,Retail
PH00443,Evans Pharmacy,South Joseland,PA,Retail
PH00444,Gonzales Pharmacy,Port Lisaborough,MA,Retail
PH00445,Cochran Pharmacy,Michellechester,PA,Retail
PH00446,Martin Pharmacy,Port Jamie,TX,Mail Order
PH00447,Clark Pharmacy,New Michaelview,TX,Retail
PH00448,Carlson Pharmacy,West Tiffany,NY,Mail Order
PH00449,Carter Pharmacy,Stephaniehaven,TX,Retail
PH00450,Duke Pharmacy,East Sydneychester,TX,Retail
PH00451,Sellers Pharmacy,Michelleberg,FL,Retail
PH00452,Miles Pharmacy,East Dustin,IL,Mail Order
PH00453,Morris Pharmacy,Port Megan,IL,Retail
PH00454,Long Pharmacy,New Cynthia,IL,Retail
PH00455,Burton Pharmacy,Hayesland,IL,Retail
PH00456,Powell Pharmacy,Heatherstad,CA,Retail
PH00457,Gibson Pharmacy,Murphytown,TX,Retail
PH00458,Melton Pharmacy,Lake Teresastad,TX,Retail
PH00459,Horn Pharmacy,Robinsonchester,PA,Mail Order
PH00460,Summers Pharmacy,Adamsport,NY,Mail Order
PH00461,Morgan Pharmacy,New Melissa,NY,Retail
PH00462,Kramer Pharmacy,North Corymouth,IL,Retail
PH00463,Smith Pharmacy,South Stephen,NJ,Retail
