hcp_id,specialty,region,lon,lat,territory
HCP00233,Endocrinology,Northeast,-71.458,43.379,T19
HCP00234,Nephrology,Midwest,-89.915,43.661,T11
HCP00235,Internal Medicine,South,-95.166,31.387,T4
HCP00236,Internal Medicine,West,-116.083,37.939,T1
HCP00237,Internal Medicine,Northeast,-76.126,39.03,T17
HCP00238,Geriatrics,Midwest,-83.184,43.09,T15
HCP00239,Internal Medicine,Midwest,-93.055,41.345,T10
HCP00240,Geriatrics,West,-109.639,32.925,T4
HCP00241,Cardiology,Northeast,-73.14,39.172,T18
HCP00242,Endocrinology,Northeast,-63.291,45.126,T19
HCP00243,Geriatrics,Northeast,-73.829,42.849,T19
HCP00244,Geriatrics,South,-91.699,31.964,T8
HCP00245,Nephrology,West,-109.31,36.213,T5
HCP00246,Internal Medicine,Northeast,-69.81,41.628,T18
HCP00247,Cardiology,West,-114.145,37.988,T1
HCP00248,Internal Medicine,Northeast,-72.131,37.952,T17
HCP00249,Cardiology,South,-86.646,29.323,T12
HCP00250,Endocrinology,West,-116.059,39.588,T2
HCP00251,Endocrinology,Midwest,-97.314,44.317,T7
HCP00252,Internal Medicine,Northeast,-72.074,45.445,T19
HCP00253,Endocrinology,South,-91.348,35.281,T9
HCP00254,Cardiology,South,-89.108,31.004,T12
HCP00255,Nephrology,Northeast,-73.485,40.814,T18
HCP00256,Internal Medicine,South,-89.084,32.703,T12
HCP00257,Endocrinology,West,-115.755,35.106,T1
HCP00258,Nephrology,Midwest,-87.476,39.923,T14
HCP00259,Internal Medicine,Northeast,-66.041,44.459,T19
HCP00260,Endocrinology,Midwest,-94.598,45.597,T7
HCP00261,Geriatrics,South,-90.491,37.96,T9
HCP00262,Internal Medicine,West,-114.493,40.353,T2
HCP00263,Cardiology,Northeast,-69.435,46.018,T19
HCP00264,Geriatrics,Northeast,-74.059,48.03,T19
HCP00265,Cardiology,Midwest,-96.712,44.371,T7
HCP00266,Nephrology,Northeast,-72.118,43.542,T19
HCP00267,Cardiology,Northeast,-74.848,44.872,T19
HCP00268,Cardiology,Northeast,-70.634,42.3,T19
HCP00269,Geriatrics,Northeast,-81.799,45.871,T15
HCP00270,Cardiology,Midwest,-96.526,41.372,T6
HCP00271,Internal Medicine,West,-124.106,34.946,T1
HCP00272,Cardiology,West,-113.5,35.138,T1
HCP00273,Cardiology,South,-90.082,36.606,T9
HCP00274,Nephrology,Midwest,-96.784,42.754,T7
HCP00275,Cardiology,Northeast,-69.587,44.199,T19
HCP00276,Cardiology,West,-123.572,40.914,T2
HCP00277,Endocrinology,South,-93.687,30.897,T4
HCP00278,Geriatrics,South,-90.116,32.285,T8
HCP00279,Cardiology,Midwest,-95.576,36.245,T5
HCP00280,Cardiology,Midwest,-94.358,41.253,T6
HCP00281,Cardiology,Midwest,-100.05,46.329,T7
HCP00282,Cardiology,West,-110.57,38.936,T5
HCP00283,Internal Medicine,South,-91.822,34.161,T8
HCP00284,Cardiology,Midwest,-89.559,43.075,T11
HCP00285,Internal Medicine,Northeast,-79.935,43.868,T15
HCP00286,Internal Medicine,South,-88.259,35.65,T13
HCP00287,Cardiology,Northeast,-77.177,40.996,T14
HCP00288,Cardiology,Northeast,-73.766,46.993,T19
HCP00289,Nephrology,Northeast,-69.9,42.825,T19
HCP00290,Nephrology,Midwest,-88.183,38.905,T13
HCP00291,Endocrinology,Midwest,-97.688,42.284,T6
HCP00292,Endocrinology,Midwest,-96.467,45.819,T7
HCP00293,Cardiology,West,-112.681,39.332,T2
HCP00294,Geriatrics,Midwest,-99.332,39.75,T6
HCP00295,Internal Medicine,Northeast,-72.233,43.272,T19
HCP00296,Internal Medicine,West,-113.516,35.222,T1
HCP00297,Internal Medicine,Northeast,-73.154,39.157,T18
HCP00298,Internal Medicine,Midwest,-96.664,43.822,T7
HCP00299,Nephrology,West,-116.278,39.166,T2
HCP00300,Endocrinology,Northeast,-77.275,41.45,T14
HCP00301,Cardiology,South,-89.979,31.991,T8
HCP00302,Cardiology,Midwest,-103.056,42.492,T7
HCP00303,Endocrinology,West,-116.237,42.016,T2
HCP00304,Cardiology,Northeast,-75.475,47.257,T19
HCP00305,Geriatrics,West,-119.902,38.998,T1
HCP00306,Internal Medicine,West,-118.349,35.459,T1
HCP00307,Endocrinology,Northeast,-69.882,41.213,T18
HCP00308,Internal Medicine,West,-108.443,36.002,T5
HCP00309,Cardiology,South,-93.049,25.883,T8
HCP00310,Internal Medicine,South,-87.483,37.371,T13
HCP00311,Nephrology,Northeast,-74.73,41.468,T18
HCP00312,Cardiology,South,-88.772,28.494,T12
HCP00313,Internal Medicine,Northeast,-79.502,35.065,T13
HCP00314,Internal Medicine,Midwest,-91.615,37.046,T9
HCP00315,Internal Medicine,Midwest,-89.843,42.124,T10
HCP00316,Nephrology,Northeast,-73.128,44.593,T19
HCP00317,Endocrinology,South,-90.029,32.289,T8
HCP00318,Nephrology,Northeast,-67.564,42.719,T19
HCP00319,Endocrinology,West,-120.318,40.799,T2
HCP00320,Geriatrics,Midwest,-90.655,41.906,T10
HCP00321,Internal Medicine,South,-96.114,33.07,T4
HCP00322,Internal Medicine,South,-81.156,32.5,T12
HCP00323,Nephrology,South,-91.44,29.738,T8
HCP00324,Endocrinology,West,-114.053,36.397,T1
HCP00325,Internal Medicine,Northeast,-72.667,48.714,T19
HCP00326,Internal Medicine,West,-115.984,34.301,T0
HCP00327,Cardiology,South,-93.383,29.489,T8
HCP00328,Endocrinology,West,-116.438,35.67,T1
HCP00329,Endocrinology,Midwest,-98.205,43.333,T7
HCP00330,Cardiology,West,-117.06,36.044,T1
HCP00331,Internal Medicine,West,-111.573,38.469,T5
HCP00332,Nephrology,Northeast,-69.462,41.99,T18
HCP00333,Internal Medicine,South,-93.755,32.88,T4
HCP00334,Endocrinology,West,-119.061,41.075,T2
HCP00335,Endocrinology,Northeast,-74.783,45.472,T19
HCP00336,Endocrinology,Northeast,-76.634,40.75,T14
HCP00337,Cardiology,Midwest,-87.209,37.689,T13
HCP00338,Cardiology,West,-109.894,33.913,T4
HCP00339,Cardiology,South,-79.712,27.451,T12
HCP00340,Endocrinology,Midwest,-90.788,38.483,T9
HCP00341,Internal Medicine,West,-126.503,37.288,T1
HCP00342,Internal Medicine,Northeast,-80.188,41.609,T14
HCP00343,Internal Medicine,West,-114.166,39.717,T2
HCP00344,Endocrinology,Northeast,-72.777,46.135,T19
HCP00345,Endocrinology,South,-93.109,34.468,T8
HCP00346,Nephrology,West,-124.774,40.765,T2
HCP00347,Internal Medicine,West,-114.353,39.207,T2
HCP00348,Endocrinology,West,-110.285,40.304,T6
HCP00349,Internal Medicine,Northeast,-70.284,46.465,T19
HCP00350,Internal Medicine,West,-119.912,39.317,T2
HCP00351,Endocrinology,West,-116.602,38.408,T1
HCP00352,Internal Medicine,Midwest,-91.632,39.489,T10
HCP00353,Internal Medicine,Northeast,-73.216,39.237,T18
HCP00354,Cardiology,South,-90.245,35.927,T9
HCP00355,Internal Medicine,Midwest,-92.517,38.444,T9
HCP00356,Endocrinology,South,-90.712,31.557,T8
HCP00357,Cardiology,West,-122.357,34.445,T0
HCP00358,Geriatrics,South,-95.921,32.132,T4
HCP00359,Nephrology,West,-118.878,32.436,T0
HCP00360,Endocrinology,West,-118.805,37.048,T1
HCP00361,Internal Medicine,Northeast,-74.822,41.669,T18
HCP00362,Endocrinology,Midwest,-90.98,40.021,T10
HCP00363,Internal Medicine,Northeast,-77.586,40.262,T14
HCP00364,Cardiology,Northeast,-72.445,43.062,T19
HCP00365,Endocrinology,Midwest,-92.07,42.079,T10
HCP00366,Internal Medicine,Midwest,-90.801,43.253,T11
HCP00367,Endocrinology,Northeast,-71.529,37.315,T17
HCP00368,Internal Medicine,Midwest,-88.24,40.0,T14
HCP00369,Internal Medicine,Midwest,-90.844,41.424,T10
HCP00370,Internal Medicine,Midwest,-94.95,42.229,T6
HCP00371,Cardiology,Midwest,-90.592,44.566,T11
HCP00372,Nephrology,Northeast,-65.136,46.144,T19
HCP00373,Endocrinology,Midwest,-88.533,37.592,T13
HCP00374,Endocrinology,Northeast,-72.306,40.995,T18
HCP00375,Cardiology,Northeast,-67.795,42.534,T19
HCP00376,Nephrology,West,-119.953,38.703,T1
HCP00377,Cardiology,West,-125.897,38.32,T1
HCP00378,Cardiology,Northeast,-70.666,47.14,T19
HCP00379,Internal Medicine,South,-88.784,29.429,T12
HCP00380,Internal Medicine,West,-111.636,42.875,T7
HCP00381,Internal Medicine,Northeast,-78.803,41.923,T14
HCP00382,Internal Medicine,West,-113.694,41.085,T2
HCP00383,Nephrology,West,-117.773,31.436,T0
HCP00384,Internal Medicine,South,-91.26,34.449,T8
HCP00385,Internal Medicine,Midwest,-90.0,43.239,T11
HCP00386,Endocrinology,South,-97.087,31.214,T4
HCP00387,Internal Medicine,Northeast,-70.64,35.965,T17
HCP00388,Cardiology,South,-95.046,37.617,T5
HCP00389,Geriatrics,West,-112.202,35.055,T1
HCP00390,Geriatrics,South,-83.793,35.005,T13
HCP00391,Cardiology,Midwest,-96.546,42.824,T7
HCP00392,Nephrology,West,-118.15,38.221,T1
HCP00393,Endocrinology,West,-115.019,37.691,T1
HCP00394,Endocrinology,Midwest,-97.075,38.318,T5
HCP00395,Cardiology,South,-93.07,31.352,T8
HCP00396,Cardiology,Midwest,-89.027,40.021,T14
HCP00397,Cardiology,Midwest,-97.847,36.111,T5
HCP00398,Endocrinology,South,-94.516,27.363,T4
HCP00399,Internal Medicine,Northeast,-70.842,41.643,T18
HCP00400,Endocrinology,Midwest,-91.151,46.454,T11
HCP00401,Endocrinology,South,-85.449,29.985,T12
HCP00402,Internal Medicine,Midwest,-94.213,39.143,T6
HCP00403,Geriatrics,Northeast,-76.95,39.712,T14
HCP00404,Nephrology,West,-111.316,36.153,T5
HCP00405,Cardiology,Northeast,-72.615,47.532,T19
HCP00406,Endocrinology,South,-91.928,35.14,T9
HCP00407,Endocrinology,South,-97.14,34.198,T4
HCP00408,Geriatrics,West,-118.104,39.277,T2
HCP00409,Endocrinology,Northeast,-69.431,37.153,T17
HCP00410,Nephrology,Midwest,-92.423,43.347,T11
HCP00411,Internal Medicine,Northeast,-68.372,42.982,T19
HCP00412,Endocrinology,Northeast,-76.93,45.966,T15
HCP00413,Cardiology,Northeast,-66.153,42.411,T19
HCP00414,Cardiology,Midwest,-94.492,45.307,T7
HCP00415,Cardiology,South,-89.424,27.77,T8
HCP00416,Cardiology,Northeast,-73.567,42.603,T19
HCP00417,Internal Medicine,South,-94.294,31.761,T4
HCP00418,Nephrology,Midwest,-89.6,38.98,T9
HCP00419,Internal Medicine,West,-115.291,32.041,T0
HCP00420,Cardiology,West,-117.564,33.139,T0
HCP00421,Cardiology,South,-83.821,32.622,T12
HCP00422,Internal Medicine,Midwest,-102.649,47.584,T7
HCP00423,Internal Medicine,Northeast,-76.846,36.177,T13
HCP00424,Endocrinology,Midwest,-85.097,41.918,T14
HCP00425,Endocrinology,South,-89.26,36.939,T9
HCP00426,Cardiology,Midwest,-89.564,42.413,T11
HCP00427,Cardiology,South,-87.074,36.606,T13
HCP00428,Internal Medicine,West,-115.574,37.513,T1
HCP00429,Internal Medicine,South,-86.48,33.42,T12
HCP00430,Internal Medicine,West,-115.49,35.551,T1
HCP00431,Internal Medicine,Northeast,-70.726,37.02,T17
HCP00432,Nephrology,South,-94.403,32.896,T4
HCP00433,Internal Medicine,West,-122.736,40.688,T2
HCP00434,Geriatrics,West,-116.882,43.436,T3
HCP00435,Nephrology,South,-90.689,31.005,T8
HCP00436,Endocrinology,South,-84.861,31.898,T12
HCP00437,Internal Medicine,West,-115.861,35.047,T1
HCP00438,Geriatrics,Midwest,-93.379,42.943,T11
HCP00439,Internal Medicine,Northeast,-61.509,44.389,T19
HCP00440,Nephrology,South,-95.534,24.373,T4
HCP00441,Endocrinology,Midwest,-89.551,49.111,T11
HCP00442,Endocrinology,Midwest,-96.154,41.802,T6
HCP00443,Cardiology,South,-94.28,26.833,T4
HCP00444,Nephrology,Midwest,-91.168,48.03,T11
HCP00445,Internal Medicine,Northeast,-73.914,45.202,T19
HCP00446,Internal Medicine,South,-95.721,29.39,T4
HCP00447,Internal Medicine,South,-99.715,34.302,T4
HCP00448,Endocrinology,Midwest,-94.474,35.6,T5
HCP00449,Internal Medicine,Northeast,-75.239,39.466,T18
HCP00450,Nephrology,West,-110.109,37.211,T5
HCP00451,Internal Medicine,West,-115.428,36.175,T1
HCP00452,Internal Medicine,South,-88.477,31.395,T12
HCP00453,Cardiology,West,-121.122,38.583,T1
HCP00454,Internal Medicine,West,-122.764,38.665,T1
HCP00455,Cardiology,South,-95.777,27.7,T4
HCP00456,Internal Medicine,South,-86.105,29.372,T12
HCP00457,Internal Medicine,Midwest,-89.847,45.415,T11
HCP00458,Endocrinology,West,-114.577,35.412,T1
HCP00459,Nephrology,Northeast,-75.791,37.301,T17
HCP00460,Nephrology,Northeast,-77.053,39.347,T14
HCP00461,Nephrology,South,-94.919,32.406,T4
HCP00462,Endocrinology,South,-86.628,38.335,T13
HCP00463,Cardiology,West,-112.771,38.978,T1
HCP00464,Cardiology,South,-86.996,32.896,T12
HCP00465,Cardiology,Midwest,-88.103,40.388,T14
HCP00466,Endocrinology,Midwest,-97.89,40.764,T6
HCP00467,Internal Medicine,Northeast,-70.692,42.291,T19
HCP00468,Internal Medicine,Midwest,-93.233,37.937,T9
HCP00469,Endocrinology,West,-118.3,38.369,T1
HCP00470,Endocrinology,Northeast,-72.302,42.161,T18
HCP00471,Geriatrics,South,-90.282,28.461,T8
HCP00472,Cardiology,West,-108.427,37.751,T5
HCP00473,Nephrology,Northeast,-72.558,36.876,T17
HCP00474,Nephrology,West,-115.657,38.202,T1
HCP00475,Cardiology,West,-108.829,40.425,T6
HCP00476,Cardiology,Northeast,-74.567,42.018,T18
HCP00477,Endocrinology,South,-89.489,33.033,T8
HCP00478,Endocrinology,West,-110.714,35.571,T5
HCP00479,Nephrology,Midwest,-88.495,37.86,T13
HCP00480,Cardiology,South,-91.347,28.599,T8
HCP00481,Endocrinology,Northeast,-74.266,40.121,T18
HCP00482,Geriatrics,Midwest,-95.744,38.588,T5
HCP00483,Endocrinology,West,-118.933,34.992,T1
HCP00484,Cardiology,Northeast,-68.52,43.89,T19
HCP00485,Cardiology,Midwest,-86.897,45.499,T15
HCP00486,Cardiology,Midwest,-92.705,38.323,T9
HCP00487,Internal Medicine,Midwest,-97.732,45.537,T7
HCP00488,Nephrology,South,-88.486,30.621,T12
HCP00489,Internal Medicine,South,-91.165,33.394,T8
HCP00490,Nephrology,West,-111.679,35.751,T5
HCP00491,Internal Medicine,West,-130.215,35.646,T1
