hcp_id,month,market_trx,our_trx
HCP00005,2024-03,98,57
HCP00005,2024-04,86,50
HCP00005,2024-05,58,31
HCP00005,2024-06,59,22
HCP00005,2024-07,83,47
HCP00005,2024-08,102,53
HCP00005,2024-09,84,45
HCP00005,2024-10,86,40
HCP00005,2024-11,96,49
HCP00005,2024-12,73,36
HCP00005,2025-01,72,33
HCP00005,2025-02,98,51
HCP00005,2025-03,106,50
HCP00005,2025-04,89,49
HCP00005,2025-05,87,46
HCP00005,2025-06,93,49
HCP00006,2024-01,37,3
HCP00006,2024-02,41,3
HCP00006,2024-03,43,2
HCP00006,2024-04,45,7
HCP00006,2024-05,40,7
HCP00006,2024-06,45,3
HCP00006,2024-07,46,6
HCP00006,2024-08,33,2
HCP00006,2024-09,41,7
HCP00006,2024-10,36,11
HCP00006,2024-11,42,4
HCP00006,2024-12,46,10
HCP00006,2025-01,40,12
HCP00006,2025-02,42,6
HCP00006,2025-03,47,15
HCP00006,2025-04,37,9
HCP00006,2025-05,37,8
HCP00006,2025-06,36,6
HCP00007,2024-01,16,2
HCP00007,2024-02,14,0
HCP00007,2024-03,18,0
HCP00007,2024-04,16,1
HCP00007,2024-05,19,1
HCP00007,2024-06,15,2
HCP00007,2024-07,15,0
HCP00007,2024-08,12,0
HCP00007,2024-09,10,0
HCP00007,2024-10,14,0
HCP00007,2024-11,13,0
HCP00007,2024-12,14,0
HCP00007,2025-01,13,0
HCP00007,2025-02,17,0
HCP00007,2025-03,16,0
HCP00007,2025-04,12,0
HCP00007,2025-05,16,1
HCP00007,2025-06,14,0
HCP00008,2024-01,26,3
HCP00008,2024-02,34,5
HCP00008,2024-03,18,2
HCP00008,2024-04,30,6
HCP00008,2024-05,30,4
HCP00008,2024-06,28,7
HCP00008,2024-07,26,11
HCP00008,2024-08,28,5
HCP00008,2024-09,33,6
HCP00008,2024-10,30,8
HCP00008,2024-11,30,10
HCP00008,2024-12,25,8
HCP00008,2025-01,29,6
HCP00008,2025-02,36,6
HCP00008,2025-03,24,5
HCP00008,2025-04,28,10
HCP00008,2025-05,28,10
HCP00008,2025-06,39,19
HCP00009,2024-01,69,11
HCP00009,2024-02,58,9
HCP00009,2024-03,70,19
HCP00009,2024-04,54,11
HCP00009,2024-05,77,13
HCP00009,2024-06,60,11
HCP00009,2024-07,67,12
HCP00009,2024-08,46,8
HCP00009,2024-09,63,20
HCP00009,2024-10,69,16
HCP00009,2024-11,56,12
HCP00009,2024-12,53,13
HCP00009,2025-01,69,22
HCP00009,2025-02,58,18
HCP00009,2025-03,59,21
HCP00009,2025-04,60,23
HCP00009,2025-05,56,22
HCP00009,2025-06,74,33
HCP00010,2024-01,12,4
HCP00010,2024-02,12,5
HCP00010,2024-03,13,3
HCP00010,2024-04,15,4
HCP00010,2024-05,11,3
HCP00010,2024-06,12,2
HCP00010,2024-07,9,1
HCP00010,2024-08,14,1
HCP00010,2024-09,13,6
HCP00010,2024-10,11,4
HCP00010,2024-11,12,4
HCP00010,2024-12,11,1
HCP00010,2025-01,10,2
HCP00010,2025-02,10,1
HCP00010,2025-03,13,4
HCP00010,2025-04,10,4
HCP00010,2025-05,15,5
HCP00010,2025-06,16,5
HCP00011,2024-01,39,8
HCP00011,2024-02,38,6
HCP00011,2024-03,51,11
HCP00011,2024-04,36,8
HCP00011,2024-05,38,11
HCP00011,2024-06,44,7
HCP00011,2024-07,49,8
HCP00011,2024-08,37,9
HCP00011,2024-09,62,22
HCP00011,2024-10,40,11
HCP00011,2024-11,45,12
HCP00011,2024-12,40,9
HCP00011,2025-01,49,15
HCP00011,2025-02,39,11
HCP00011,2025-03,51,21
HCP00011,2025-04,48,13
HCP00011,2025-05,46,16
HCP00011,2025-06,55,20
HCP00012,2024-01,9,4
HCP00012,2024-02,9,5
HCP00012,2024-03,10,3
HCP00012,2024-04,11,6
HCP00012,2024-05,11,7
HCP00012,2024-06,11,3
HCP00012,2024-07,9,0
HCP00012,2024-08,11,5
HCP00012,2024-09,10,4
HCP00012,2024-10,10,5
HCP00012,2024-11,10,1
HCP00012,2024-12,10,2
HCP00012,2025-01,9,4
HCP00012,2025-02,8,2
HCP00012,2025-03,9,5
HCP00012,2025-04,13,5
HCP00012,2025-05,13,1
HCP00012,2025-06,12,4
HCP00013,2024-01,74,33
HCP00013,2024-02,73,33
HCP00013,2024-03,84,44
HCP00013,2024-04,74,29
HCP00013,2024-05,75,28
HCP00013,2024-06,87,39
HCP00013,2024-07,59,25
HCP00013,2024-08,73,28
HCP00013,2024-09,87,36
HCP00013,2024-10,82,43
HCP00013,2024-11,89,29
HCP00013,2024-12,88,33
HCP00013,2025-01,73,31
HCP00013,2025-02,84,33
HCP00013,2025-03,73,32
HCP00013,2025-04,104,47
HCP00013,2025-05,76,32
HCP00013,2025-06,76,36
HCP00014,2024-01,10,2
HCP00014,2024-02,10,2
HCP00014,2024-03,9,1
HCP00014,2024-04,7,2
HCP00014,2024-05,9,0
HCP00014,2024-06,9,3
HCP00014,2024-07,8,3
HCP00014,2024-08,8,0
HCP00014,2024-09,11,0
HCP00014,2024-10,11,2
HCP00014,2024-11,10,0
HCP00014,2024-12,9,2
HCP00014,2025-01,7,2
HCP00014,2025-02,10,3
HCP00014,2025-03,10,3
HCP00014,2025-04,7,3
HCP00014,2025-05,9,2
HCP00014,2025-06,11,2
HCP00015,2024-01,9,2
HCP00015,2024-02,6,3
HCP00015,2024-03,7,2
HCP00015,2024-04,8,1
HCP00015,2024-05,6,2
HCP00015,2024-06,8,2
HCP00015,2024-07,10,1
HCP00015,2024-08,6,2
HCP00015,2024-09,10,1
HCP00015,2024-10,8,2
HCP00015,2024-11,9,4
HCP00015,2024-12,9,3
HCP00015,2025-01,8,1
HCP00015,2025-02,10,2
HCP00015,2025-03,10,3
HCP00015,2025-04,7,0
HCP00015,2025-05,9,3
HCP00015,2025-06,8,3
HCP00016,2024-01,5,1
HCP00016,2024-02,4,0
HCP00016,2024-03,5,0
HCP00016,2024-04,5,0
HCP00016,2024-05,6,1
HCP00016,2024-06,7,1
HCP00016,2024-07,5,1
HCP00016,2024-08,6,1
HCP00016,2024-09,6,2
HCP00016,2024-10,6,2
HCP00016,2024-11,6,3
HCP00016,2024-12,4,1
HCP00016,2025-01,5,0
HCP00016,2025-02,5,0
HCP00016,2025-03,5,2
HCP00016,2025-04,5,0
HCP00016,2025-05,4,0
HCP00016,2025-06,5,2
HCP00017,2024-01,7,3
HCP00017,2024-02,7,0
HCP00017,2024-03,7,0
HCP00017,2024-04,6,2
HCP00017,2024-05,8,2
HCP00017,2024-06,7,1
HCP00017,2024-07,7,0
HCP00017,2024-08,6,3
HCP00017,2024-09,7,1
HCP00017,2024-10,8,1
HCP00017,2024-11,7,2
HCP00017,2024-12,6,0
HCP00017,2025-01,6,2
HCP00017,2025-02,8,0
HCP00017,2025-03,8,1
HCP00017,2025-04,7,2
HCP00017,2025-05,8,1
HCP00017,2025-06,8,0
HCP00018,2024-01,55,18
HCP00018,2024-02,52,14
HCP00018,2024-03,47,13
HCP00018,2024-04,57,22
HCP00018,2024-05,54,17
HCP00018,2024-06,43,17
HCP00018,2024-07,61,20
HCP00018,2024-08,50,21
HCP00018,2024-09,58,25
HCP00018,2024-10,53,25
HCP00018,2024-11,41,18
HCP00018,2024-12,52,20
HCP00018,2025-01,39,23
HCP00018,2025-02,58,25
HCP00018,2025-03,59,18
HCP00018,2025-04,38,13
HCP00018,2025-05,48,20
HCP00018,2025-06,47,19
HCP00019,2024-01,19,4
HCP00019,2024-02,17,1
HCP00019,2024-03,15,5
HCP00019,2024-04,13,1
HCP00019,2024-05,17,1
HCP00019,2024-06,14,1
HCP00019,2024-07,13,2
HCP00019,2024-08,12,4
HCP00019,2024-09,12,4
HCP00019,2024-10,15,2
HCP00019,2024-11,8,3
HCP00019,2024-12,16,2
HCP00019,2025-01,15,2
HCP00019,2025-02,15,5
HCP00019,2025-03,18,5
HCP00019,2025-04,18,2
HCP00019,2025-05,18,2
HCP00019,2025-06,15,2
HCP00020,2024-01,70,13
HCP00020,2024-02,74,10
HCP00020,2024-03,65,7
HCP00020,2024-04,60,14
HCP00020,2024-05,53,8
HCP00020,2024-06,72,20
HCP00020,2024-07,87,17
HCP00020,2024-08,60,16
HCP00020,2024-09,60,9
HCP00020,2024-10,51,14
HCP00020,2024-11,61,17
HCP00020,2024-12,52,10
HCP00020,2025-01,66,19
HCP00020,2025-02,69,16
HCP00020,2025-03,56,11
HCP00020,2025-04,69,20
HCP00020,2025-05,59,20
HCP00020,2025-06,66,16
HCP00021,2024-01,12,0
HCP00021,2024-02,10,0
HCP00021,2024-03,11,2
HCP00021,2024-04,11,1
HCP00021,2024-05,12,0
HCP00021,2024-06,10,0
HCP00021,2024-07,11,2
HCP00021,2024-08,10,1
HCP00021,2024-09,10,1
HCP00021,2024-10,11,1
HCP00021,2024-11,11,0
HCP00021,2024-12,11,0
HCP00021,2025-01,13,3
HCP00021,2025-02,11,0
HCP00021,2025-03,12,0
HCP00021,2025-04,12,1
HCP00021,2025-05,11,0
HCP00021,2025-06,7,0
HCP00022,2024-01,90,30
HCP00022,2024-02,110,29
HCP00022,2024-03,98,30
HCP00022,2024-04,110,32
HCP00022,2024-05,94,31
HCP00022,2024-06,99,40
HCP00022,2024-07,113,35
HCP00022,2024-08,85,22
HCP00022,2024-09,95,28
HCP00022,2024-10,95,35
HCP00022,2024-11,97,28
HCP00022,2024-12,91,28
HCP00022,2025-01,84,18
HCP00022,2025-02,116,38
HCP00022,2025-03,95,25
HCP00022,2025-04,102,25
HCP00022,2025-05,98,27
HCP00022,2025-06,91,33
HCP00023,2024-01,45,20
HCP00023,2024-02,51,20
HCP00023,2024-03,50,15
HCP00023,2024-04,47,17
HCP00023,2024-05,57,23
HCP00023,2024-06,51,22
HCP00023,2024-07,57,17
HCP00023,2024-08,40,17
HCP00023,2024-09,53,15
HCP00023,2024-10,62,16
HCP00023,2024-11,55,15
HCP00023,2024-12,57,16
HCP00023,2025-01,54,17
HCP00023,2025-02,49,14
HCP00023,2025-03,47,10
HCP00023,2025-04,47,10
HCP00023,2025-05,58,13
HCP00023,2025-06,52,4
HCP00024,2024-01,40,3
HCP00024,2024-02,36,3
HCP00024,2024-03,35,2
HCP00024,2024-04,33,7
HCP00024,2024-05,37,6
HCP00024,2024-06,37,5
HCP00024,2024-07,38,7
HCP00024,2024-08,28,4
HCP00024,2024-09,37,9
HCP00024,2024-10,32,4
HCP00024,2024-11,30,9
HCP00024,2024-12,34,13
HCP00024,2025-01,29,6
HCP00024,2025-02,38,12
HCP00024,2025-03,30,8
HCP00024,2025-04,25,7
HCP00024,2025-05,24,7
HCP00024,2025-06,35,10
HCP00025,2024-01,11,0
HCP00025,2024-02,12,0
HCP00025,2024-03,13,3
HCP00025,2024-04,15,3
HCP00025,2024-05,13,3
HCP00025,2024-06,15,3
HCP00025,2024-07,17,3
HCP00025,2024-08,12,1
HCP00025,2024-09,12,2
HCP00025,2024-10,11,0
HCP00025,2024-11,12,2
HCP00025,2024-12,16,3
HCP00025,2025-01,17,3
HCP00025,2025-02,16,4
HCP00025,2025-03,14,1
HCP00025,2025-04,13,4
HCP00025,2025-05,16,1
HCP00025,2025-06,14,4
HCP00026,2024-01,28,3
HCP00026,2024-02,35,6
HCP00026,2024-03,42,7
HCP00026,2024-04,38,7
HCP00026,2024-05,36,3
HCP00026,2024-06,39,9
HCP00026,2024-07,34,12
HCP00026,2024-08,42,5
HCP00026,2024-09,36,10
HCP00026,2024-10,44,9
HCP00026,2024-11,38,4
HCP00026,2024-12,42,3
HCP00026,2025-01,37,8
HCP00026,2025-02,34,7
HCP00026,2025-03,40,9
HCP00026,2025-04,34,5
HCP00026,2025-05,39,15
HCP00026,2025-06,42,15
HCP00027,2024-01,18,3
HCP00027,2024-02,20,2
HCP00027,2024-03,22,6
HCP00027,2024-04,23,1
HCP00027,2024-05,25,5
HCP00027,2024-06,20,1
HCP00027,2024-07,18,2
HCP00027,2024-08,17,5
HCP00027,2024-09,24,6
HCP00027,2024-10,13,4
HCP00027,2024-11,23,6
HCP00027,2024-12,22,8
HCP00027,2025-01,24,6
HCP00027,2025-02,20,2
HCP00027,2025-03,19,4
HCP00027,2025-04,21,5
HCP00027,2025-05,21,8
HCP00027,2025-06,14,6
HCP00028,2024-01,67,2
HCP00028,2024-02,108,2
HCP00028,2024-03,63,3
HCP00028,2024-04,94,15
HCP00028,2024-05,86,7
HCP00028,2024-06,63,2
HCP00028,2024-07,71,10
HCP00028,2024-08,80,8
HCP00028,2024-09,92,17
HCP00028,2024-10,87,8
HCP00028,2024-11,83,20
HCP00028,2024-12,81,9
HCP00028,2025-01,73,14
HCP00028,2025-02,75,12
HCP00028,2025-03,83,23
HCP00028,2025-04,78,18
HCP00028,2025-05,68,13
HCP00028,2025-06,75,23
HCP00029,2024-01,19,3
HCP00029,2024-02,25,5
HCP00029,2024-03,19,2
HCP00029,2024-04,18,2
HCP00029,2024-05,19,4
HCP00029,2024-06,17,2
HCP00029,2024-07,15,1
HCP00029,2024-08,21,7
HCP00029,2024-09,22,0
HCP00029,2024-10,17,2
HCP00029,2024-11,19,5
HCP00029,2024-12,16,2
HCP00029,2025-01,24,6
HCP00029,2025-02,20,1
HCP00029,2025-03,21,4
HCP00029,2025-04,20,2
HCP00029,2025-05,19,6
HCP00029,2025-06,22,4
HCP00030,2024-01,44,28
HCP00030,2024-02,52,34
HCP00030,2024-03,59,41
HCP00030,2024-04,43,25
HCP00030,2024-05,53,30
HCP00030,2024-06,39,22
HCP00030,2024-07,46,26
HCP00030,2024-08,64,42
HCP00030,2024-09,44,27
HCP00030,2024-10,45,26
HCP00030,2024-11,39,28
HCP00030,2024-12,40,28
HCP00030,2025-01,47,31
HCP00030,2025-02,52,32
HCP00030,2025-03,49,26
HCP00030,2025-04,39,20
HCP00030,2025-05,45,25
HCP00030,2025-06,46,27
HCP00031,2024-01,12,3
HCP00031,2024-02,11,2
HCP00031,2024-03,10,0
HCP00031,2024-04,12,1
HCP00031,2024-05,14,0
HCP00031,2024-06,10,0
HCP00031,2024-07,8,1
HCP00031,2024-08,12,0
HCP00031,2024-09,12,1
HCP00031,2024-10,7,0
HCP00031,2024-11,12,2
HCP00031,2024-12,11,0
HCP00031,2025-01,11,2
HCP00031,2025-02,13,0
HCP00031,2025-03,8,1
HCP00031,2025-04,10,1
HCP00031,2025-05,9,1
HCP00031,2025-06,10,0
HCP00032,2024-01,60,4
HCP00032,2024-02,54,8
HCP00032,2024-03,54,8
HCP00032,2024-04,45,7
HCP00032,2024-05,60,10
HCP00032,2024-06,68,11
HCP00032,2024-07,64,9
HCP00032,2024-08,41,10
HCP00032,2024-09,72,12
HCP00032,2024-10,58,15
HCP00032,2024-11,45,10
HCP00032,2024-12,50,13
HCP00032,2025-01,36,7
HCP00032,2025-02,49,12
HCP00032,2025-03,56,14
HCP00032,2025-04,52,12
HCP00032,2025-05,27,10
HCP00032,2025-06,61,14
HCP00033,2024-01,19,3
HCP00033,2024-02,19,1
HCP00033,2024-03,16,0
HCP00033,2024-04,20,1
HCP00033,2024-05,26,1
HCP00033,2024-06,25,9
HCP00033,2024-07,21,3
HCP00033,2024-08,15,3
HCP00033,2024-09,22,5
HCP00033,2024-10,24,9
HCP00033,2024-11,27,7
HCP00033,2024-12,27,11
HCP00033,2025-01,17,9
HCP00033,2025-02,22,4
HCP00033,2025-03,19,5
HCP00033,2025-04,24,4
HCP00033,2025-05,19,8
HCP00033,2025-06,19,3
HCP00034,2024-01,14,1
HCP00034,2024-02,13,3
HCP00034,2024-03,17,2
HCP00034,2024-04,13,0
HCP00034,2024-05,16,1
HCP00034,2024-06,11,1
HCP00034,2024-07,13,3
HCP00034,2024-08,16,3
HCP00034,2024-09,17,4
HCP00034,2024-10,13,2
HCP00034,2024-11,15,1
HCP00034,2024-12,16,2
HCP00034,2025-01,17,3
HCP00034,2025-02,12,0
HCP00034,2025-03,15,2
HCP00034,2025-04,14,3
HCP00034,2025-05,15,4
HCP00034,2025-06,12,1
HCP00035,2024-01,7,1
HCP00035,2024-02,6,0
HCP00035,2024-03,5,0
HCP00035,2024-04,8,1
HCP00035,2024-05,8,3
HCP00035,2024-06,8,2
HCP00035,2024-07,6,2
HCP00035,2024-08,6,1
HCP00035,2024-09,7,1
HCP00035,2024-10,8,2
HCP00035,2024-11,6,1
HCP00035,2024-12,6,0
HCP00035,2025-01,5,1
HCP00035,2025-02,6,1
HCP00035,2025-03,6,0
HCP00035,2025-04,7,0
HCP00035,2025-05,7,1
HCP00035,2025-06,7,0
HCP00036,2024-01,12,3
HCP00036,2024-02,11,0
HCP00036,2024-03,14,2
HCP00036,2024-04,15,4
HCP00036,2024-05,9,1
HCP00036,2024-06,15,3
HCP00036,2024-07,15,3
HCP00036,2024-08,13,1
HCP00036,2024-09,15,6
HCP00036,2024-10,14,2
HCP00036,2024-11,15,1
HCP00036,2024-12,16,1
HCP00036,2025-01,13,0
HCP00036,2025-02,15,2
HCP00036,2025-03,14,2
HCP00036,2025-04,14,3
HCP00036,2025-05,13,3
HCP00036,2025-06,13,5
HCP00037,2024-01,10,1
HCP00037,2024-02,10,3
HCP00037,2024-03,11,0
HCP00037,2024-04,10,2
HCP00037,2024-05,9,3
HCP00037,2024-06,11,3
HCP00037,2024-07,10,3
HCP00037,2024-08,8,2
HCP00037,2024-09,9,2
HCP00037,2024-10,10,2
HCP00037,2024-11,11,4
HCP00037,2024-12,8,1
HCP00037,2025-01,9,1
HCP00037,2025-02,11,2
HCP00037,2025-03,8,1
HCP00037,2025-04,9,1
HCP00037,2025-05,10,2
HCP00037,2025-06,9,2
HCP00038,2024-01,41,0
HCP00038,2024-02,45,6
HCP00038,2024-03,45,2
HCP00038,2024-04,44,4
HCP00038,2024-05,43,3
HCP00038,2024-06,60,3
HCP00038,2024-07,46,0
HCP00038,2024-08,49,7
HCP00038,2024-09,38,8
HCP00038,2024-10,43,10
HCP00038,2024-11,58,12
HCP00038,2024-12,64,13
HCP00038,2025-01,44,8
HCP00038,2025-02,40,9
HCP00038,2025-03,42,6
HCP00038,2025-04,57,14
HCP00038,2025-05,52,8
HCP00038,2025-06,55,14
HCP00039,2024-01,54,23
HCP00039,2024-02,59,22
HCP00039,2024-03,56,27
HCP00039,2024-04,73,24
HCP00039,2024-05,59,25
HCP00039,2024-06,58,23
HCP00039,2024-07,49,24
HCP00039,2024-08,67,37
HCP00039,2024-09,67,27
HCP00039,2024-10,44,22
HCP00039,2024-11,72,34
HCP00039,2024-12,73,29
HCP00039,2025-01,43,14
HCP00039,2025-02,70,27
HCP00039,2025-03,80,32
HCP00039,2025-04,61,28
HCP00039,2025-05,75,36
HCP00039,2025-06,55,20
HCP00040,2024-01,62,19
HCP00040,2024-02,59,18
HCP00040,2024-03,58,14
HCP00040,2024-04,68,15
HCP00040,2024-05,53,17
HCP00040,2024-06,34,12
HCP00040,2024-07,86,31
HCP00040,2024-08,55,18
HCP00040,2024-09,55,18
HCP00040,2024-10,75,30
HCP00040,2024-11,58,20
HCP00040,2024-12,66,28
HCP00040,2025-01,72,30
HCP00040,2025-02,57,22
HCP00040,2025-03,47,22
HCP00040,2025-04,55,23
HCP00040,2025-05,69,28
HCP00040,2025-06,63,18
HCP00041,2024-01,34,2
HCP00041,2024-02,35,4
HCP00041,2024-03,45,9
HCP00041,2024-04,36,5
HCP00041,2024-05,30,9
HCP00041,2024-06,36,5
HCP00041,2024-07,35,8
HCP00041,2024-08,39,9
HCP00041,2024-09,38,9
HCP00041,2024-10,32,7
HCP00041,2024-11,33,11
HCP00041,2024-12,45,8
HCP00041,2025-01,42,12
HCP00041,2025-02,40,12
HCP00041,2025-03,34,13
HCP00041,2025-04,31,7
HCP00041,2025-05,47,18
HCP00041,2025-06,38,11
HCP00042,2024-01,9,2
HCP00042,2024-02,9,2
HCP00042,2024-03,8,1
HCP00042,2024-04,9,1
HCP00042,2024-05,4,0
HCP00042,2024-06,8,0
HCP00042,2024-07,8,1
HCP00042,2024-08,8,2
HCP00042,2024-09,9,0
HCP00042,2024-10,10,3
HCP00042,2024-11,9,2
HCP00042,2024-12,6,2
HCP00042,2025-01,6,0
HCP00042,2025-02,8,2
HCP00042,2025-03,7,0
HCP00042,2025-04,9,2
HCP00042,2025-05,7,2
HCP00042,2025-06,8,2
HCP00043,2024-01,19,8
HCP00043,2024-02,22,8
HCP00043,2024-03,16,5
HCP00043,2024-04,16,5
HCP00043,2024-05,14,3
HCP00043,2024-06,16,11
HCP00043,2024-07,18,8
HCP00043,2024-08,15,6
HCP00043,2024-09,17,9
HCP00043,2024-10,15,5
HCP00043,2024-11,17,7
HCP00043,2024-12,17,8
HCP00043,2025-01,18,8
HCP00043,2025-02,17,3
HCP00043,2025-03,17,1
HCP00043,2025-04,17,3
HCP00043,2025-05,19,2
HCP00043,2025-06,18,2
HCP00044,2024-01,53,25
HCP00044,2024-02,71,36
HCP00044,2024-03,76,28
HCP00044,2024-04,71,25
HCP00044,2024-05,76,27
HCP00044,2024-06,62,22
HCP00044,2024-07,76,27
HCP00044,2024-08,83,23
HCP00044,2024-09,67,24
HCP00044,2024-10,81,27
HCP00044,2024-11,50,17
HCP00044,2024-12,49,15
HCP00044,2025-01,78,25
HCP00044,2025-02,73,18
HCP00044,2025-03,47,10
HCP00044,2025-04,60,15
HCP00044,2025-05,63,13
HCP00044,2025-06,55,4
HCP00045,2024-01,5,0
HCP00045,2024-02,6,0
HCP00045,2024-03,8,3
HCP00045,2024-04,8,0
HCP00045,2024-05,6,0
HCP00045,2024-06,4,0
HCP00045,2024-07,6,0
HCP00045,2024-08,6,0
HCP00045,2024-09,7,1
HCP00045,2024-10,6,1
HCP00045,2024-11,6,0
HCP00045,2024-12,8,0
HCP00045,2025-01,8,0
HCP00045,2025-02,6,0
HCP00045,2025-03,8,1
HCP00045,2025-04,7,0
HCP00045,2025-05,7,0
HCP00045,2025-06,9,1
HCP00046,2024-01,10,1
HCP00046,2024-02,16,9
HCP00046,2024-03,15,1
HCP00046,2024-04,11,2
HCP00046,2024-05,12,1
HCP00046,2024-06,12,1
HCP00046,2024-07,11,3
HCP00046,2024-08,12,1
HCP00046,2024-09,11,3
HCP00046,2024-10,11,2
HCP00046,2024-11,11,2
HCP00046,2024-12,9,3
HCP00046,2025-01,12,2
HCP00046,2025-02,11,2
HCP00046,2025-03,13,4
HCP00046,2025-04,12,5
HCP00046,2025-05,9,1
HCP00046,2025-06,10,0
HCP00047,2024-01,7,0
HCP00047,2024-02,5,0
HCP00047,2024-03,7,0
HCP00047,2024-04,5,1
HCP00047,2024-05,7,1
HCP00047,2024-06,7,2
HCP00047,2024-07,7,0
HCP00047,2024-08,5,0
HCP00047,2024-09,6,1
HCP00047,2024-10,6,2
HCP00047,2024-11,7,0
HCP00047,2024-12,5,0
HCP00047,2025-01,6,0
HCP00047,2025-02,6,2
HCP00047,2025-03,6,0
HCP00047,2025-04,5,0
HCP00047,2025-05,7,2
HCP00047,2025-06,6,0
HCP00048,2024-01,7,2
HCP00048,2024-02,10,1
HCP00048,2024-03,8,1
HCP00048,2024-04,6,1
HCP00048,2024-05,8,1
HCP00048,2024-06,6,1
HCP00048,2024-07,6,1
HCP00048,2024-08,7,2
HCP00048,2024-09,5,1
HCP00048,2024-10,6,1
HCP00048,2024-11,8,2
HCP00048,2024-12,8,1
HCP00048,2025-01,8,0
HCP00048,2025-02,9,2
HCP00048,2025-03,7,1
HCP00048,2025-04,7,1
HCP00048,2025-05,7,0
HCP00048,2025-06,6,0
HCP00049,2024-01,4,0
HCP00049,2024-02,4,0
HCP00049,2024-03,3,1
HCP00049,2024-04,5,1
HCP00049,2024-05,5,1
HCP00049,2024-06,5,0
HCP00049,2024-07,5,1
HCP00049,2024-08,4,2
HCP00049,2024-09,4,0
HCP00049,2024-10,5,1
HCP00049,2024-11,5,1
HCP00049,2024-12,4,0
HCP00049,2025-01,4,2
HCP00049,2025-02,2,1
HCP00049,2025-03,4,2
HCP00049,2025-04,4,2
HCP00049,2025-05,4,2
HCP00049,2025-06,5,0
HCP00050,2024-01,84,45
HCP00050,2024-02,64,30
HCP00050,2024-03,75,43
HCP00050,2024-04,83,40
HCP00050,2024-05,65,28
HCP00050,2024-06,69,31
HCP00050,2024-07,49,25
HCP00050,2024-08,72,39
HCP00050,2024-09,68,30
HCP00050,2024-10,83,42
HCP00050,2024-11,57,27
HCP00050,2024-12,70,27
HCP00050,2025-01,72,33
HCP00050,2025-02,82,40
HCP00050,2025-03,72,34
HCP00050,2025-04,70,32
HCP00050,2025-05,83,36
HCP00050,2025-06,48,19
HCP00051,2024-01,9,3
HCP00051,2024-02,10,1
HCP00051,2024-03,9,4
HCP00051,2024-04,10,2
HCP00051,2024-05,9,1
HCP00051,2024-06,7,1
HCP00051,2024-07,8,0
HCP00051,2024-08,7,3
HCP00051,2024-09,9,0
HCP00051,2024-10,8,1
HCP00051,2024-11,8,1
HCP00051,2024-12,7,1
HCP00051,2025-01,12,1
HCP00051,2025-02,8,1
HCP00051,2025-03,10,3
HCP00051,2025-04,8,0
HCP00051,2025-05,9,0
HCP00051,2025-06,8,1
HCP00052,2024-01,35,20
HCP00052,2024-02,35,18
HCP00052,2024-03,31,19
HCP00052,2024-04,48,22
HCP00052,2024-05,34,13
HCP00052,2024-06,31,18
HCP00052,2024-07,44,20
HCP00052,2024-08,37,21
HCP00052,2024-09,28,11
HCP00052,2024-10,39,19
HCP00052,2024-11,38,21
HCP00052,2024-12,37,18
