hcp_id,month,calls
HCP00196,2024-01,3
HCP00197,2024-01,4
HCP00200,2024-01,1
HCP00201,2024-01,1
HCP00206,2024-01,3
HCP00212,2024-01,1
HCP00214,2024-01,1
HCP00216,2024-01,1
HCP00217,2024-01,1
HCP00218,2024-01,1
HCP00219,2024-01,2
HCP00220,2024-01,1
HCP00224,2024-01,1
HCP00225,2024-01,2
HCP00226,2024-01,1
HCP00227,2024-01,4
HCP00230,2024-01,2
HCP00231,2024-01,2
HCP00234,2024-01,1
HCP00235,2024-01,1
HCP00237,2024-01,1
HCP00238,2024-01,1
HCP00241,2024-01,3
HCP00242,2024-01,3
HCP00244,2024-01,1
HCP00245,2024-01,2
HCP00247,2024-01,10
HCP00248,2024-01,1
HCP00249,2024-01,1
HCP00251,2024-01,1
HCP00254,2024-01,3
HCP00255,2024-01,3
HCP00256,2024-01,3
HCP00258,2024-01,1
HCP00260,2024-01,1
HCP00262,2024-01,1
HCP00267,2024-01,1
HCP00269,2024-01,3
HCP00270,2024-01,2
HCP00271,2024-01,1
HCP00272,2024-01,2
HCP00275,2024-01,1
HCP00276,2024-01,1
HCP00279,2024-01,1
HCP00280,2024-01,2
HCP00283,2024-01,2
HCP00284,2024-01,1
HCP00285,2024-01,4
HCP00288,2024-01,1
HCP00289,2024-01,1
HCP00291,2024-01,1
HCP00293,2024-01,3
HCP00297,2024-01,1
HCP00299,2024-01,1
HCP00300,2024-01,2
HCP00302,2024-01,2
HCP00303,2024-01,1
HCP00305,2024-01,1
HCP00308,2024-01,3
HCP00310,2024-01,1
HCP00311,2024-01,1
HCP00313,2024-01,1
HCP00315,2024-01,1
HCP00316,2024-01,5
HCP00319,2024-01,5
HCP00320,2024-01,1
HCP00321,2024-01,1
HCP00322,2024-01,1
HCP00325,2024-01,3
HCP00331,2024-01,1
HCP00332,2024-01,3
HCP00339,2024-01,2
HCP00341,2024-01,2
HCP00342,2024-01,2
HCP00344,2024-01,4
HCP00348,2024-01,1
HCP00353,2024-01,2
HCP00355,2024-01,7
HCP00356,2024-01,1
HCP00359,2024-01,3
HCP00360,2024-01,2
HCP00362,2024-01,1
HCP00363,2024-01,1
HCP00367,2024-01,2
HCP00368,2024-01,2
HCP00371,2024-01,7
HCP00372,2024-01,1
HCP00375,2024-01,4
HCP00376,2024-01,2
HCP00378,2024-01,2
HCP00380,2024-01,1
HCP00382,2024-01,2
HCP00383,2024-01,1
HCP00384,2024-01,2
HCP00385,2024-01,2
HCP00387,2024-01,1
HCP00389,2024-01,2
HCP00390,2024-01,3
HCP00391,2024-01,1
HCP00392,2024-01,2
HCP00395,2024-01,4
HCP00396,2024-01,2
HCP00398,2024-01,1
HCP00401,2024-01,2
HCP00404,2024-01,3
HCP00405,2024-01,1
HCP00406,2024-01,2
HCP00407,2024-01,1
HCP00408,2024-01,1
HCP00409,2024-01,3
HCP00410,2024-01,4
HCP00411,2024-01,7
HCP00415,2024-01,1
HCP00416,2024-01,1
HCP00417,2024-01,1
HCP00421,2024-01,4
HCP00422,2024-01,6
HCP00423,2024-01,1
HCP00424,2024-01,1
HCP00425,2024-01,4
HCP00428,2024-01,3
HCP00430,2024-01,1
HCP00431,2024-01,1
HCP00433,2024-01,2
HCP00439,2024-01,1
HCP00441,2024-01,1
HCP00444,2024-01,4
HCP00445,2024-01,1
HCP00450,2024-01,1
HCP00451,2024-01,1
HCP00452,2024-01,1
HCP00453,2024-01,1
HCP00454,2024-01,1
HCP00456,2024-01,3
HCP00457,2024-01,1
HCP00459,2024-01,3
HCP00463,2024-01,1
HCP00464,2024-01,5
HCP00465,2024-01,2
HCP00466,2024-01,1
HCP00467,2024-01,2
HCP00468,2024-01,1
HCP00470,2024-01,1
HCP00471,2024-01,2
HCP00474,2024-01,3
HCP00478,2024-01,2
HCP00480,2024-01,1
HCP00481,2024-01,1
HCP00482,2024-01,1
HCP00483,2024-01,3
HCP00484,2024-01,2
HCP00485,2024-01,1
HCP00490,2024-01,1
HCP00493,2024-01,1
HCP00495,2024-01,1
HCP00497,2024-01,1
HCP00501,2024-01,1
HCP00502,2024-01,4
HCP00508,2024-01,2
HCP00509,2024-01,2
HCP00511,2024-01,1
HCP00513,2024-01,1
HCP00515,2024-01,2
HCP00518,2024-01,1
HCP00520,2024-01,1
HCP00521,2024-01,2
HCP00524,2024-01,1
HCP00528,2024-01,2
HCP00535,2024-01,1
HCP00536,2024-01,3
HCP00537,2024-01,1
HCP00538,2024-01,1
HCP00540,2024-01,1
HCP00541,2024-01,1
HCP00547,2024-01,1
HCP00551,2024-01,1
HCP00552,2024-01,1
HCP00555,2024-01,1
HCP00556,2024-01,1
HCP00561,2024-01,5
HCP00564,2024-01,1
HCP00565,2024-01,1
HCP00567,2024-01,1
HCP00568,2024-01,1
HCP00570,2024-01,1
HCP00572,2024-01,1
HCP00573,2024-01,1
HCP00574,2024-01,1
HCP00576,2024-01,1
HCP00577,2024-01,1
HCP00578,2024-01,5
HCP00581,2024-01,3
HCP00582,2024-01,1
HCP00589,2024-01,1
HCP00591,2024-01,1
HCP00592,2024-01,5
HCP00598,2024-01,5
HCP00600,2024-01,1
HCP00601,2024-01,1
HCP00602,2024-01,2
HCP00608,2024-01,1
HCP00609,2024-01,1
HCP00611,2024-01,1
HCP00613,2024-01,1
HCP00615,2024-01,1
HCP00616,2024-01,2
HCP00619,2024-01,2
HCP00620,2024-01,1
HCP00623,2024-01,1
HCP00628,2024-01,1
HCP00629,2024-01,4
HCP00630,2024-01,1
HCP00631,2024-01,1
HCP00632,2024-01,2
HCP00637,2024-01,1
HCP00640,2024-01,1
HCP00641,2024-01,3
HCP00644,2024-01,1
HCP00645,2024-01,1
HCP00646,2024-01,2
HCP00648,2024-01,1
HCP00649,2024-01,3
HCP00651,2024-01,2
HCP00652,2024-01,1
HCP00654,2024-01,1
HCP00657,2024-01,2
HCP00658,2024-01,3
HCP00659,2024-01,4
HCP00660,2024-01,1
HCP00662,2024-01,5
HCP00663,2024-01,1
HCP00665,2024-01,7
HCP00667,2024-01,1
HCP00668,2024-01,2
HCP00669,2024-01,1
HCP00670,2024-01,3
HCP00671,2024-01,6
HCP00672,2024-01,1
HCP00673,2024-01,1
HCP00677,2024-01,2
HCP00678,2024-01,2
HCP00679,2024-01,1
HCP00683,2024-01,1
HCP00684,2024-01,1
HCP00685,2024-01,1
HCP00686,2024-01,3
HCP00687,2024-01,1
HCP00689,2024-01,1
HCP00693,2024-01,2
HCP00697,2024-01,4
HCP00698,2024-01,8
HCP00701,2024-01,2
HCP00704,2024-01,1
HCP00709,2024-01,2
HCP00715,2024-01,1
HCP00716,2024-01,1
HCP00721,2024-01,1
HCP00722,2024-01,2
HCP00723,2024-01,2
HCP00727,2024-01,2
HCP00729,2024-01,1
HCP00732,2024-01,1
HCP00736,2024-01,1
HCP00738,2024-01,1
HCP00740,2024-01,1
HCP00741,2024-01,4
HCP00742,2024-01,1
HCP00743,2024-01,2
HCP00744,2024-01,3
HCP00745,2024-01,2
HCP00746,2024-01,2
HCP00749,2024-01,2
HCP00751,2024-01,1
HCP00752,2024-01,1
HCP00754,2024-01,1
HCP00755,2024-01,2
HCP00756,2024-01,1
HCP00761,2024-01,1
HCP00762,2024-01,2
HCP00763,2024-01,2
HCP00764,2024-01,1
HCP00766,2024-01,5
HCP00768,2024-01,2
HCP00769,2024-01,2
HCP00778,2024-01,1
HCP00785,2024-01,1
HCP00786,2024-01,1
HCP00788,2024-01,1
HCP00792,2024-01,2
HCP00793,2024-01,3
HCP00794,2024-01,1
HCP00795,2024-01,2
HCP00797,2024-01,2
HCP00798,2024-01,1
HCP00799,2024-01,2
HCP00801,2024-01,2
HCP00805,2024-01,1
HCP00807,2024-01,1
HCP00808,2024-01,1
HCP00809,2024-01,1
HCP00810,2024-01,2
HCP00811,2024-01,1
HCP00812,2024-01,3
HCP00814,2024-01,2
HCP00816,2024-01,3
HCP00819,2024-01,3
HCP00820,2024-01,1
HCP00821,2024-01,1
HCP00824,2024-01,1
HCP00826,2024-01,1
HCP00827,2024-01,1
HCP00828,2024-01,1
HCP00829,2024-01,1
HCP00830,2024-01,1
HCP00831,2024-01,6
HCP00832,2024-01,1
HCP00834,2024-01,1
HCP00835,2024-01,1
HCP00838,2024-01,1
HCP00840,2024-01,1
HCP00843,2024-01,1
HCP00848,2024-01,2
HCP00849,2024-01,3
HCP00853,2024-01,1
HCP00855,2024-01,1
HCP00857,2024-01,6
HCP00861,2024-01,1
HCP00863,2024-01,1
HCP00866,2024-01,1
HCP00870,2024-01,1
HCP00871,2024-01,1
HCP00874,2024-01,1
HCP00875,2024-01,1
HCP00877,2024-01,1
HCP00878,2024-01,3
HCP00879,2024-01,4
HCP00883,2024-01,2
HCP00884,2024-01,1
HCP00888,2024-01,1
HCP00889,2024-01,2
HCP00890,2024-01,1
HCP00892,2024-01,1
HCP00897,2024-01,4
HCP00899,2024-01,1
HCP00901,2024-01,1
HCP00904,2024-01,4
HCP00908,2024-01,3
HCP00909,2024-01,1
HCP00912,2024-01,2
HCP00913,2024-01,1
HCP00914,2024-01,1
HCP00918,2024-01,1
HCP00919,2024-01,4
HCP00920,2024-01,6
HCP00921,2024-01,1
HCP00923,2024-01,2
HCP00925,2024-01,1
HCP00926,2024-01,1
HCP00927,2024-01,1
HCP00928,2024-01,1
HCP00930,2024-01,1
HCP00931,2024-01,1
HCP00932,2024-01,1
HCP00933,2024-01,1
HCP00935,2024-01,1
HCP00940,2024-01,1
HCP00941,2024-01,2
HCP00943,2024-01,10
HCP00944,2024-01,2
HCP00949,2024-01,1
HCP00953,2024-01,1
HCP00956,2024-01,2
HCP00957,2024-01,5
HCP00958,2024-01,1
HCP00961,2024-01,9
HCP00962,2024-01,1
HCP00966,2024-01,1
HCP00967,2024-01,1
HCP00968,2024-01,1
HCP00971,2024-01,2
HCP00972,2024-01,1
HCP00973,2024-01,3
HCP00974,2024-01,1
HCP00975,2024-01,1
HCP00976,2024-01,1
HCP00977,2024-01,1
HCP00981,2024-01,1
HCP00982,2024-01,1
HCP00983,2024-01,1
HCP00986,2024-01,4
HCP00987,2024-01,2
HCP00989,2024-01,2
HCP00990,2024-01,2
HCP00991,2024-01,2
HCP00994,2024-01,1
HCP00995,2024-01,2
HCP00996,2024-01,1
HCP00998,2024-01,1
HCP00999,2024-01,1
HCP01000,2024-01,3
HCP01004,2024-01,1
HCP01005,2024-01,1
HCP01006,2024-01,1
HCP01009,2024-01,1
HCP01010,2024-01,2
HCP01011,2024-01,1
HCP01016,2024-01,2
HCP01017,2024-01,1
HCP01018,2024-01,1
HCP01020,2024-01,1
HCP01021,2024-01,2
HCP01023,2024-01,1
HCP01024,2024-01,2
HCP01026,2024-01,1
HCP01027,2024-01,1
HCP01028,2024-01,1
HCP01034,2024-01,1
HCP01035,2024-01,2
HCP01037,2024-01,4
HCP01039,2024-01,2
HCP01040,2024-01,3
HCP01043,2024-01,1
HCP01045,2024-01,1
HCP01046,2024-01,2
HCP01052,2024-01,1
HCP01053,2024-01,1
HCP01054,2024-01,1
HCP01059,2024-01,4
HCP01060,2024-01,6
HCP01061,2024-01,1
HCP01062,2024-01,3
HCP01063,2024-01,1
HCP01064,2024-01,1
HCP01067,2024-01,1
HCP01069,2024-01,2
HCP01070,2024-01,2
HCP01073,2024-01,1
HCP01076,2024-01,5
HCP01077,2024-01,4
HCP01078,2024-01,1
HCP01079,2024-01,1
HCP01080,2024-01,3
HCP01081,2024-01,3
HCP01083,2024-01,2
HCP01085,2024-01,4
HCP01086,2024-01,1
HCP01089,2024-01,1
HCP01095,2024-01,1
HCP01098,2024-01,1
HCP01099,2024-01,2
HCP01100,2024-01,1
HCP01102,2024-01,1
HCP01103,2024-01,1
HCP01105,2024-01,2
HCP01107,2024-01,1
HCP01108,2024-01,1
HCP01109,2024-01,2
HCP01110,2024-01,1
HCP01112,2024-01,1
HCP01113,2024-01,1
HCP01114,2024-01,3
HCP01115,2024-01,1
HCP01116,2024-01,1
HCP01117,2024-01,2
HCP01123,2024-01,1
HCP01124,2024-01,2
HCP01126,2024-01,2
HCP01129,2024-01,1
HCP01131,2024-01,1
HCP01133,2024-01,5
HCP01135,2024-01,2
HCP01138,2024-01,2
HCP01140,2024-01,2
HCP01143,2024-01,1
HCP01144,2024-01,1
HCP01145,2024-01,2
HCP01147,2024-01,1
HCP01148,2024-01,1
HCP01149,2024-01,2
HCP01150,2024-01,2
HCP01152,2024-01,1
HCP01153,2024-01,1
HCP01154,2024-01,1
HCP01155,2024-01,1
HCP01156,2024-01,7
HCP01157,2024-01,2
HCP01158,2024-01,1
HCP01160,2024-01,1
HCP01162,2024-01,1
HCP01163,2024-01,1
HCP01164,2024-01,1
HCP01171,2024-01,1
HCP01172,2024-01,2
HCP01173,2024-01,1
HCP01176,2024-01,2
HCP01178,2024-01,1
HCP01181,2024-01,1
HCP01182,2024-01,1
HCP01184,2024-01,2
HCP01187,2024-01,3
HCP01189,2024-01,1
HCP01196,2024-01,1
HCP01197,2024-01,2
HCP01199,2024-01,1
HCP01200,2024-01,1
HCP01206,2024-01,2
HCP01207,2024-01,3
HCP01208,2024-01,1
HCP01211,2024-01,3
HCP01212,2024-01,1
HCP01213,2024-01,1
HCP01214,2024-01,1
HCP01217,2024-01,2
HCP01221,2024-01,1
HCP01224,2024-01,1
HCP01226,2024-01,1
HCP01227,2024-01,2
HCP01230,2024-01,1
HCP01231,2024-01,2
HCP01239,2024-01,2
HCP01240,2024-01,1
HCP01241,2024-01,4
HCP01242,2024-01,4
HCP01244,2024-01,3
HCP01249,2024-01,1
HCP01252,2024-01,1
HCP01253,2024-01,2
HCP01254,2024-01,5
HCP01255,2024-01,5
HCP01257,2024-01,1
HCP01258,2024-01,1
HCP01259,2024-01,1
HCP01261,2024-01,1
HCP01262,2024-01,1
HCP01263,2024-01,1
HCP01268,2024-01,1
HCP01269,2024-01,1
HCP01270,2024-01,1
HCP01271,2024-01,2
HCP01277,2024-01,2
HCP01278,2024-01,2
HCP01282,2024-01,2
HCP01283,2024-01,5
HCP01284,2024-01,1
HCP01285,2024-01,3
HCP01288,2024-01,2
HCP01289,2024-01,2
HCP01291,2024-01,1
HCP01292,2024-01,2
HCP01293,2024-01,4
HCP01295,2024-01,1
HCP01299,2024-01,1
HCP01300,2024-01,7
HCP01309,2024-01,1
HCP01310,2024-01,2
HCP01311,2024-01,2
HCP01318,2024-01,2
HCP01322,2024-01,1
HCP01324,2024-01,1
HCP01325,2024-01,2
HCP01326,2024-01,2
HCP01327,2024-01,1
HCP01328,2024-01,1
HCP01331,2024-01,1
HCP01333,2024-01,2
HCP01334,2024-01,1
HCP01338,2024-01,2
HCP01340,2024-01,1
HCP01343,2024-01,1
HCP01344,2024-01,1
HCP01346,2024-01,2
HCP01347,2024-01,3
HCP01350,2024-01,2
HCP01351,2024-01,3
HCP01354,2024-01,1
HCP01355,2024-01,1
HCP01357,2024-01,1
HCP01359,2024-01,2
HCP01360,2024-01,1
HCP01361,2024-01,1
HCP01362,2024-01,1
HCP01363,2024-01,4
HCP01367,2024-01,1
HCP01369,2024-01,2
HCP01370,2024-01,7
HCP01371,2024-01,4
HCP01375,2024-01,1
HCP01376,2024-01,2
HCP01382,2024-01,2
HCP01383,2024-01,1
HCP01384,2024-01,1
HCP01386,2024-01,2
HCP01387,2024-01,5
HCP01389,2024-01,1
HCP01391,2024-01,1
HCP01394,2024-01,1
HCP01396,2024-01,1
HCP01397,2024-01,2
HCP01398,2024-01,3
HCP01399,2024-01,3
HCP01401,2024-01,1
HCP01405,2024-01,2
HCP01406,2024-01,1
HCP01409,2024-01,2
HCP01412,2024-01,1
HCP01414,2024-01,1
HCP01416,2024-01,2
HCP01417,2024-01,1
HCP01419,2024-01,2
HCP01422,2024-01,2
HCP01424,2024-01,1
HCP01425,2024-01,2
HCP01428,2024-01,4
HCP01429,2024-01,1
HCP01431,2024-01,1
HCP01432,2024-01,1
HCP01433,2024-01,1
HCP01434,2024-01,1
HCP01436,2024-01,2
HCP01437,2024-01,2
HCP01441,2024-01,3
HCP01443,2024-01,4
HCP01446,2024-01,1
HCP01449,2024-01,1
HCP01451,2024-01,1
HCP01455,2024-01,2
HCP01457,2024-01,1
HCP01458,2024-01,1
HCP01460,2024-01,2
HCP01461,2024-01,1
HCP01462,2024-01,1
HCP01463,2024-01,1
HCP01464,2024-01,1
HCP01465,2024-01,1
HCP01472,2024-01,2
HCP01473,2024-01,1
HCP01479,2024-01,2
HCP01480,2024-01,1
HCP01483,2024-01,2
HCP01484,2024-01,2
HCP01487,2024-01,2
HCP01488,2024-01,1
HCP01489,2024-01,1
HCP01494,2024-01,1
HCP01495,2024-01,4
HCP01496,2024-01,4
HCP01498,2024-01,1
HCP01499,2024-01,1
HCP01500,2024-01,1
HCP01501,2024-01,5
HCP01503,2024-01,1
HCP01504,2024-01,2
HCP01506,2024-01,2
HCP01507,2024-01,2
HCP01509,2024-01,1
HCP01511,2024-01,1
HCP01513,2024-01,2
HCP01514,2024-01,1
HCP01517,2024-01,2
HCP01519,2024-01,2
HCP01521,2024-01,1
HCP01522,2024-01,1
HCP01524,2024-01,3
HCP01525,2024-01,2
HCP01526,2024-01,1
HCP01527,2024-01,1
HCP01529,2024-01,5
HCP01530,2024-01,1
HCP01533,2024-01,1
HCP01534,2024-01,2
HCP01535,2024-01,2
HCP01536,2024-01,1
HCP01537,2024-01,1
HCP01538,2024-01,1
HCP01539,2024-01,3
HCP01540,2024-01,1
HCP01541,2024-01,1
HCP01542,2024-01,2
HCP01543,2024-01,1
HCP01545,2024-01,1
HCP01546,2024-01,3
HCP01549,2024-01,1
HCP01552,2024-01,1
HCP01553,2024-01,3
HCP01554,2024-01,4
HCP01560,2024-01,1
HCP01562,2024-01,4
HCP01563,2024-01,3
HCP01565,2024-01,1
HCP01567,2024-01,1
HCP01568,2024-01,1
HCP01569,2024-01,1
HCP01571,2024-01,1
HCP01573,2024-01,1
HCP01574,2024-01,1
HCP01575,2024-01,6
HCP01576,2024-01,2
HCP01577,2024-01,1
HCP01582,2024-01,2
HCP01585,2024-01,1
HCP01586,2024-01,1
HCP01587,2024-01,1
HCP01590,2024-01,1
HCP01593,2024-01,4
HCP01594,2024-01,2
HCP01597,2024-01,3
HCP01598,2024-01,1
HCP01599,2024-01,2
HCP01600,2024-01,1
HCP01601,2024-01,1
HCP01602,2024-01,1
HCP01603,2024-01,6
HCP01604,2024-01,7
HCP01605,2024-01,1
HCP01606,2024-01,2
HCP01607,2024-01,1
HCP01608,2024-01,3
HCP01609,2024-01,3
HCP01611,2024-01,1
HCP01612,2024-01,1
HCP01613,2024-01,2
HCP01620,2024-01,1
HCP01622,2024-01,1
HCP01623,2024-01,1
HCP01624,2024-01,1
HCP01626,2024-01,1
HCP01627,2024-01,1
HCP01628,2024-01,1
HCP01630,2024-01,2
HCP01631,2024-01,1
HCP01632,2024-01,1
HCP01636,2024-01,2
HCP01642,2024-01,1
HCP01644,2024-01,1
HCP01645,2024-01,1
HCP01647,2024-01,1
HCP01650,2024-01,1
HCP01651,2024-01,1
HCP01652,2024-01,1
HCP01653,2024-01,3
HCP01654,2024-01,3
HCP01655,2024-01,1
HCP01657,2024-01,1
HCP01661,2024-01,4
HCP01662,2024-01,2
HCP01664,2024-01,5
HCP01665,2024-01,1
HCP01669,2024-01,1
HCP01670,2024-01,1
HCP01671,2024-01,2
HCP01672,2024-01,4
HCP01673,2024-01,1
HCP01677,2024-01,4
HCP01680,2024-01,2
HCP01681,2024-01,4
HCP01682,2024-01,1
HCP01686,2024-01,3
HCP01687,2024-01,2
HCP01688,2024-01,1
HCP01689,2024-01,1
HCP01690,2024-01,7
HCP01691,2024-01,1
HCP01693,2024-01,2
HCP01694,2024-01,1
HCP01697,2024-01,3
HCP01699,2024-01,1
HCP01700,2024-01,1
HCP01702,2024-01,1
HCP01703,2024-01,4
HCP01705,2024-01,1
HCP01707,2024-01,2
HCP01708,2024-01,1
HCP01709,2024-01,2
HCP01711,2024-01,1
HCP01712,2024-01,1
HCP01713,2024-01,2
HCP01716,2024-01,5
HCP01722,2024-01,2
HCP01724,2024-01,3
HCP01725,2024-01,2
HCP01726,2024-01,3
HCP01727,2024-01,1
HCP01729,2024-01,4
HCP01734,2024-01,1
HCP01735,2024-01,2
HCP01736,2024-01,1
HCP01738,2024-01,2
HCP01739,2024-01,1
HCP01740,2024-01,3
HCP01741,2024-01,3
HCP01743,2024-01,1
HCP01746,2024-01,1
HCP01747,2024-01,1
HCP01749,2024-01,2
HCP01750,2024-01,1
HCP01753,2024-01,4
HCP01755,2024-01,2
HCP01756,2024-01,1
HCP01757,2024-01,2
HCP01763,2024-01,1
HCP01764,2024-01,2
HCP01765,2024-01,1
HCP01768,2024-01,3
HCP01773,2024-01,2
HCP01774,2024-01,1
HCP01775,2024-01,3
HCP01779,2024-01,1
HCP01780,2024-01,3
HCP01784,2024-01,4
HCP01785,2024-01,1
HCP01786,2024-01,1
HCP01788,2024-01,2
HCP01789,2024-01,2
HCP01797,2024-01,2
HCP01800,2024-01,3
HCP01802,2024-01,1
HCP01805,2024-01,6
HCP01807,2024-01,7
HCP01809,2024-01,1
HCP01812,2024-01,1
HCP01813,2024-01,2
HCP01814,2024-01,3
HCP01815,2024-01,3
HCP01816,2024-01,5
HCP01819,2024-01,2
HCP01820,2024-01,9
HCP01821,2024-01,2
HCP01826,2024-01,2
HCP01833,2024-01,1
HCP01836,2024-01,1
HCP01839,2024-01,3
HCP01840,2024-01,1
HCP01842,2024-01,1
HCP01843,2024-01,1
HCP01845,2024-01,1
HCP01847,2024-01,2
HCP01851,2024-01,8
HCP01852,2024-01,1
HCP01855,2024-01,2
HCP01856,2024-01,1
HCP01857,2024-01,1
HCP01858,2024-01,1
HCP01859,2024-01,1
HCP01860,2024-01,1
HCP01861,2024-01,1
HCP01862,2024-01,1
HCP01864,2024-01,5
HCP01866,2024-01,2
HCP01868,2024-01,1
HCP01870,2024-01,2
HCP01871,2024-01,4
HCP01873,2024-01,1
HCP01874,2024-01,2
HCP01878,2024-01,1
HCP01880,2024-01,5
HCP01881,2024-01,1
HCP01886,2024-01,1
HCP01888,2024-01,4
HCP01892,2024-01,2
HCP01897,2024-01,2
HCP01898,2024-01,6
HCP01904,2024-01,1
HCP01907,2024-01,2
HCP01908,2024-01,1
HCP01909,2024-01,1
HCP01913,2024-01,1
HCP01915,2024-01,1
HCP01916,2024-01,2
HCP01917,2024-01,1
HCP01918,2024-01,1
HCP01921,2024-01,1
HCP01922,2024-01,1
HCP01924,2024-01,1
HCP01925,2024-01,1
HCP01927,2024-01,1
HCP01932,2024-01,4
HCP01935,2024-01,1
HCP01938,2024-01,1
HCP01939,2024-01,1
HCP01940,2024-01,1
HCP01941,2024-01,1
HCP01947,2024-01,2
HCP01950,2024-01,3
HCP01953,2024-01,2
HCP01959,2024-01,1
HCP01960,2024-01,2
HCP01961,2024-01,3
HCP01962,2024-01,3
HCP01968,2024-01,1
HCP01970,2024-01,1
HCP01971,2024-01,1
HCP01972,2024-01,1
HCP01973,2024-01,1
HCP01975,2024-01,1
HCP01976,2024-01,1
HCP01980,2024-01,3
HCP01986,2024-01,4
HCP01987,2024-01,2
HCP01989,2024-01,1
HCP01990,2024-01,1
HCP01991,2024-01,1
HCP01992,2024-01,1
HCP01993,2024-01,1
HCP01995,2024-01,1
HCP01996,2024-01,1
HCP02002,2024-01,1
HCP02005,2024-01,1
HCP02007,2024-01,1
HCP02008,2024-01,1
HCP02010,2024-01,1
HCP02013,2024-01,2
HCP02016,2024-01,1
HCP02019,2024-01,1
HCP02021,2024-01,3
HCP02024,2024-01,2
HCP02026,2024-01,1
HCP02027,2024-01,3
HCP02030,2024-01,2
HCP02033,2024-01,2
HCP02035,2024-01,1
HCP02037,2024-01,4
HCP02040,2024-01,2
HCP02042,2024-01,1
HCP02045,2024-01,7
HCP02050,2024-01,4
HCP02054,2024-01,1
HCP02059,2024-01,2
HCP02060,2024-01,2
HCP02061,2024-01,2
HCP02062,2024-01,1
HCP02064,2024-01,1
HCP02067,2024-01,1
HCP02069,2024-01,1
HCP02070,2024-01,3
HCP02071,2024-01,3
HCP02075,2024-01,1
HCP02077,2024-01,2
HCP02081,2024-01,1
HCP02084,2024-01,1
HCP02087,2024-01,1
HCP02088,2024-01,1
HCP02090,2024-01,1
HCP02091,2024-01,2
HCP02092,2024-01,1
HCP02094,2024-01,4
HCP02095,2024-01,2
HCP02096,2024-01,2
HCP02098,2024-01,1
HCP02101,2024-01,2
HCP02102,2024-01,2
HCP02103,2024-01,1
HCP02108,2024-01,1
HCP02112,2024-01,5
HCP02115,2024-01,1
HCP02116,2024-01,1
HCP02117,2024-01,1
HCP02118,2024-01,1
HCP02122,2024-01,1
HCP02126,2024-01,1
HCP02130,2024-01,1
HCP02131,2024-01,4
HCP02140,2024-01,1
HCP02141,2024-01,1
